Q3E7Y3	P40513
P39936	P40464
P35182	P38293
Q12018	P38817
P21954	P53189
P36006	P07283
P38222	P12688
P31688	P36049
Q12246	Q03280
P40339	P14306
P34241	P20676
P36049	P34909
P12689	P47170
P47822	P32342
P21372	P26793
P38555	Q00764
Q07454	Q04359
P33750	P38181
Q06287	P43601
P25299	P40185
P32345	O60200
P41821	P20606
P05694	P05737
Q02647	P50077
P53599	P40077
Q06580	P39008
Q08231	P38931
P38428	P33753
Q99344	P32367
P22579	P12868
P40098	P33419
P49956	P39520
P36152	P02557
Q12157	P36019
Q12134	Q06236
P40546	P46682
Q04226	P41920
P38888	P05318
Q03503	P06784
Q12345	P33892
P53082	P09624
Q12206	Q08446
Q03862	P25648
P89114	P38077
P11746	P40486
P40496	P38820
Q12106	P39960
P53254	Q01476
P36519	P40156
Q12098	P47086
Q06706	P46985
P23642	P12754
P40562	Q05022
P53207	Q08951
P38147	Q03660
Q12754	P20676
P47037	Q08561
P22855	P38682
Q08444	P38065
P08466	P38112
P43545	Q12192
Q02931	P32381
P32479	P38229
Q01855	Q12462
P32445	P0CX30
Q03338	P40054
P38751	P32660
P36049	Q07533
P47042	P40014
P50110	P48527
P40479	Q06632
P38736	P25591
Q07350	O13329
Q12074	P06779
P06786	P42073
P40098	Q03308
P14180	P22438
P40020	Q12186
P25453	Q06709
P38260	P20434
P38138	Q00582
Q03337	P50086
P14680	P38207
P11433	Q99359
P32464	Q12518
P41833	Q12306
P80428	P50109
Q07350	P39967
Q02939	Q12509
P35181	P43605
Q12471	P48240
P32916	P39083
P23643	P32447
Q08109	Q06504
P25367	P06182
Q03897	P40485
P39940	P25038
Q01855	Q03308
P32496	P32829
P39104	P38305
P23968	P14064
P25339	P47024
P32494	P38783
P18412	P25386
P36516	P14126
P36083	Q08689
P34072	Q06819
Q12333	P16664
P53724	P53141
P53937	Q03071
P07143	P21734
P13902	Q04924
P61829	P25573
P33203	P32610
P38682	Q04080
P19658	Q04226
P53829	Q07458
Q12230	Q02574
P12754	Q12224
P11938	P40358
P47822	P38886
P53973	P53844
P00420	P40554
P47111	P47075
P0CX87	P38871
P53061	P23639
P41910	Q06156
P53266	Q03705
Q12114	P20084
P40546	P0C0V8
Q02630	P53320
P40858	P47011
P46676	P18494
P46946	P14242
P25693	Q12280
P80967	P00431
P25357	P46669
P36126	Q08199
Q03429	P53946
P30771	P43612
Q04924	P07262
P43601	Q12486
P23337	O13539
P38260	P36037
P48524	P46680
P53921	P38077
Q08484	Q12265
O14464	P20486
P38786	P46959
P25453	Q12248
P38827	P40070
P32660	P38907
P33323	P32910
P38065	P26793
P34162	P00424
Q06168	Q03407
P07342	P41832
Q06525	P33416
Q00816	Q04048
P53849	P48240
P53900	P32473
P48560	Q08226
P36017	P28495
P32378	P40479
P32432	P39984
Q01939	P32606
P53150	P25301
P40517	P53843
P22204	P53290
P25651	Q01163
P36048	P38911
Q12040	P32639
Q99258	P54115
P38764	P32908
P47821	P38990
P25369	Q99247
P46948	Q01477
Q02354	P40325
P38630	Q05027
P29366	P34221
P39077	Q08176
P53280	P53295
P29469	Q02197
P34253	Q03497
P04911	P36094
P51998	Q12028
P42837	P36022
P50090	Q04410
P53846	P17505
Q03774	P00330
P38859	P40061
P38764	P14742
P43573	P40075
P53941	Q12488
P21192	Q03406
P32943	P39008
P06634	Q12224
P27636	P36100
P20448	P43572
P24783	P32944
P53843	Q12242
P21691	P39875
P14905	P40578
P53894	P40576
P22470	P33411
Q04964	P29029
P07248	P15424
P39944	Q99344
P39515	P38634
P69851	P32378
Q04922	P53011
P34077	P47047
P38714	P25389
P36144	P32494
P34226	P38153
Q12060	P11632
P40965	P53102
P53137	Q03835
P32494	P00175
P53104	Q06469
P40033	P45978
P10622	P32912
P32486	Q12245
P40003	P40851
P25299	P49960
P32523	Q04003
P38838	P05738
P46655	P02557
Q03784	P38266
Q04067	P39678
P36019	P06779
Q12271	P46965
P38859	P00830
Q03455	Q07914
P32854	P38748
P0C0V8	Q02884
P39081	P20484
P13259	P38753
P07262	P53187
P40958	P38759
P39727	Q02820
P20485	P32608
Q12074	P47129
P33416	P28519
Q99258	Q12074
Q01477	Q03973
P28519	Q07657
Q00711	P32525
P18412	Q12347
P22216	P40466
Q06213	P53178
Q07508	Q03713
P27466	Q08818
P07806	P38822
P38325	P50105
Q12366	P36022
P38074	P42945
Q06407	P40994
P19358	P40339
P28004	P53971
P53722	P18480
P36019	P15274
P38238	P35178
P53540	P49166
P06101	P32606
P46683	Q08921
P53886	P00420
P22470	Q06834
P50091	Q08966
P39925	P12688
P11747	P39517
Q12142	P38276
P02400	P53148
P53633	P38590
P36520	P12866
P26793	P53604
P39969	P41808
P25385	Q06211
P14020	P38270
Q12246	P48837
P26793	P47110
P40361	P32874
P41806	P53919
P38193	P48837
P32611	Q12276
P14681	P19955
P15436	Q08685
P47019	P34218
P35182	Q12211
P40955	P05317
P53917	P25045
P39538	P21734
P39016	P10662
P43598	P32496
P07284	P53086
Q04894	P36124
P43639	P52490
P39015	P39717
Q03973	P53849
P36167	P02294
P38990	Q08817
P38352	Q06405
Q06205	P16140
Q07800	Q02204
Q03976	P32354
P54784	P18494
P25302	Q12046
P38886	Q12369
P38336	P22276
P40021	P38861
P53552	P38251
P40422	P27680
P53271	P47050
P09064	P53899
P33329	Q12446
Q03792	Q08977
Q06337	P33417
P22543	P07866
P36160	Q06078
P15731	P0CX52
Q01855	P48525
Q06090	P07281
Q04868	Q12510
Q06188	Q07478
P39960	Q04199
P38236	Q07821
P47019	P27796
P40469	Q05050
Q12083	P53037
Q12027	P53261
P39520	Q02772
P38242	P53295
P52490	Q07980
P39073	P53199
P41813	P07251
P43609	Q12220
Q12287	P38968
P15646	P14681
P38784	P40509
P53917	Q08923
P32468	P01097
P40555	P28274
P38764	P53197
Q12749	P38818
P28743	Q03723
Q03161	P53316
Q07921	P46983
P27692	P36161
P14020	Q07528
Q07458	Q07457
P36523	Q03433
P47077	P53163
Q06337	P38682
P36116	P10663
P53874	P38891
P40576	Q92328
P53253	P06839
Q03750	P37838
P41911	Q12469
Q03834	P89114
P38742	Q05530
P53941	P21268
Q05166	P38932
P48566	P39993
P03879	P40568
P32910	P04802
Q06834	P13099
P35201	P47068
Q07478	Q04651
P47093	P34217
Q12468	Q08003
P06778	P38324
P32381	P22137
P34230	P41807
Q12196	P20436
Q07980	P40509
P40018	Q01448
P53633	P53290
Q01448	Q02884
P11325	Q08685
P23833	P43563
P21691	P08525
P33760	P38217
P53108	P09201
P53207	P43583
P38708	P38229
P25043	P37366
P32490	P36048
P38883	P25586
P36008	Q08924
P35178	Q06677
Q03694	Q08471
P06243	P43605
P53834	P07256
P11978	P36068
P41808	Q07381
P40359	P47042
P35189	P53199
Q03048	P14120
P23179	Q07914
P14741	Q12071
Q03201	P40020
Q99359	P40955
P14724	P35193
Q03124	P53741
P48836	P00937
P39009	P40693
P42838	P34760
P11938	P23900
Q03723	P32831
P38707	P36532
P26783	P28005
P29055	Q05931
Q08961	Q06168
P53830	P46675
Q08873	Q03799
P12612	P23293
P38316	Q04087
P33301	P36022
P40487	P38339
P16892	P47024
P14681	Q12477
Q01649	P53861
Q01454	P36528
P41544	Q03254
P00330	P32432
P41697	P38165
P00830	Q07688
P02406	P08524
P25382	P17121
P39935	P24814
Q03466	P08524
P07252	P32471
P24279	P38282
P28834	P18898
P40024	P53978
P11792	P53732
Q12462	Q12509
P36119	P40693
P32863	P23179
P39940	P11491
P36036	P32504
Q07442	P07266
Q12460	P40030
Q08235	P38881
P40991	Q08176
P38307	Q12477
P29055	P53276
Q03246	P40157
P25357	P43592
P49957	Q12315
Q03407	P40498
P38228	P26448
Q06218	Q04894
P25454	Q12483
Q04431	Q07395
P32479	P21560
P38746	Q12114
P36006	Q06639
P53853	P40487
P38792	P38927
P53094	P39517
P53538	P25293
P41057	P16649
P18851	Q04472
P39715	P53091
Q04233	P21372
P05694	P43586
P32521	P38337
P35200	P38757
P40465	Q12387
P17121	Q3E846
P47093	P43593
Q08601	P39516
P38809	P40454
Q12406	P28834
P32500	Q03785
P53333	Q08438
P47047	P20049
P39998	P53933
Q03144	P36124
P48525	P22224
P43588	P25386
Q06525	P40361
P38798	Q01852
P33754	P38624
P12688	P36528
P33308	Q12034
P25591	P48606
P14242	Q02256
P33754	P32571
P40014	Q06385
P40348	P40509
P54885	P32521
Q08961	P25644
P38162	P32486
P38011	Q02724
Q04693	P33767
P37262	P04387
P32501	P40065
P53725	Q12477
P54999	P54790
Q08214	Q12118
Q03496	P38874
Q12117	P38720
P38427	P32494
Q12208	P35177
Q03761	P53281
P89886	P38719
P38820	Q3E840
P32387	P14736
P47064	P53549
P54838	Q12446
P42943	P14306
P08432	P14120
Q05946	P40453
P40069	P30657
P89886	Q02336
P22276	Q05580
Q04311	P47134
P38249	P25623
P40515	P32874
P18239	P38429
Q03125	P49334
Q03660	P0CX52
P28004	P21576
P21734	P25385
P38707	P31382
P43132	P47077
P40562	P38072
Q02574	P47077
P53271	P38817
Q02336	P36147
P32911	Q12102
P34111	P38957
O13329	P40960
Q08004	P38266
Q01080	P0CX52
P19659	Q05530
Q05779	Q03212
Q3E7B2	Q12262
P21734	P38738
Q08949	P00942
P53326	P40460
P49018	P31384
P32361	P36534
P48524	P32897
P32805	Q03957
P40348	P40154
O13329	Q12517
P11747	P32580
P32367	P53292
P20795	Q08732
P20438	Q08906
P22276	P38959
P22137	P53176
Q06440	Q12748
P53102	Q04226
Q02100	P17558
P53197	P06103
P39083	Q12460
P54787	Q06236
Q12343	P21190
Q2V2P8	P38187
Q07362	P23585
Q12013	P36521
P32629	Q03761
P21691	P36520
Q00684	Q08553
Q08957	P40961
Q02608	P34111
P17119	P36024
P23059	P22082
Q04659	Q06251
P32524	Q03981
P16862	P38431
P53901	P34233
P31376	Q03579
Q03957	P10662
P40456	P0C0V8
Q05776	P16523
P37291	P25573
P34244	P32490
P32783	P29539
Q06629	P22035
O13525	P48526
P38823	P46973
P09064	P47069
P40339	P25366
P14741	P53893
P38759	P29539
P38149	Q12248
P22135	Q08920
P40084	P32583
P47171	P53179
P05744	Q01589
Q04210	P38254
P41546	Q02554
P32463	P53924
P25451	Q12092
P31787	Q03124
Q03829	P11746
Q04493	P06182
P32912	P36012
P11978	P40466
Q03153	Q03769
P38688	Q05635
Q04549	Q12175
P25294	P40482
Q12347	P43565
O94742	Q06411
P53299	Q08119
Q12165	Q06339
P32849	P53064
Q12446	P38753
Q04712	P53102
P53112	P37254
Q12106	P43638
Q12216	P53899
Q12024	P53168
P07806	Q00916
P33204	P34760
Q07395	P33754
P13433	P18410
P43554	Q07362
P45818	P20447
P41057	P46947
Q12499	P00175
P32916	P50091
P40469	P33754
P42837	P25591
Q07528	P53914
P38266	P32945
Q3E7C1	Q12509
P20795	P32570
P53833	P80667
Q06287	P42949
Q02159	P40154
Q08438	P19736
P36018	Q3E846
P38272	P09201
P25586	Q07540
P12866	Q12468
P25336	P46672
P32841	P00410
O14464	P38615
P33204	P38837
P32776	P47160
Q04003	P38282
P26793	Q05776
P38792	P28743
P22214	Q04894
P53604	P54791
P07143	P31412
P53082	Q06132
P40005	Q06616
Q08646	O14468
Q08204	Q3E6R5
P21304	Q12754
Q12532	Q02820
Q01939	P25382
Q12251	P20449
P32463	O14467
Q08176	Q04935
Q05636	P24280
P12695	P05743
P32497	Q06630
P35201	P47041
P06782	Q6Q547
P40150	P22289
P15891	P18410
Q08742	P35193
Q12466	P41813
P53201	P02829
P38297	Q12060
P47041	P53894
P38523	P14682
P32561	P11709
P43535	Q06213
Q08287	Q06324
P25649	P39077
Q03435	P33892
P40072	Q02555
Q03201	P14284
Q02608	P47130
P36119	P00360
P05318	P53290
P25586	P33332
P46995	P06100
P38920	Q12018
P02557	P36083
P34730	Q12466
P39722	P40578
P40453	P23202
P32337	Q08924
P32863	Q03782
P42844	P38826
P31382	P53930
P32597	P38630
P47165	P40515
Q05905	Q04472
P03069	Q08981
P41805	P32565
Q02608	P36000
P36075	Q06178
Q12298	Q04748
P32524	P18888
P40314	P39744
Q03532	Q04651
P40007	P33421
P40013	P32599
Q99258	P36149
P53865	P32333
P52870	P40480
P05986	Q07532
P53865	P10662
P18634	P52891
P53032	Q12251
Q12345	P09798
P38164	Q03012
O14464	P53829
Q02792	Q03153
P38041	P53871
P29366	Q06671
P38328	Q08689
P25591	Q12365
P07703	P50089
P06169	P04449
P04037	P06843
P32491	P53290
P36123	Q12743
P36421	P29366
P04387	P15646
P23644	P21827
P87262	Q99257
P47113	Q08232
P40970	Q03327
Q06440	P32910
P41940	Q03784
P53148	P38203
P46679	P40450
P0CG63	P33201
P53298	Q02724
P38637	P38798
P22149	Q07896
Q07457	P39968
P53941	Q12311
Q08921	P53840
P39904	P15790
P39952	P39685
P42836	P0C2H8
Q99257	P40020
P53973	P48510
Q05930	P53086
P38064	P38819
P11491	P38293
P06182	P25369
P40069	P53086
P49723	Q06224
Q02983	P38737
P38074	P89102
P25382	Q05024
P39946	P17123
P38874	P50087
Q03124	P06777
Q04867	P40457
Q06096	P04385
Q01926	Q04697
P22438	Q08492
P46970	P40204
P53733	P38990
P38351	P22204
P32589	P38789
P06104	Q04749
Q12159	P40993
P33339	Q99278
Q12510	P53193
P28707	P50947
P38325	P43605
Q06623	P25648
P40965	Q06090
P21951	P36123
Q02685	P34087
P40019	P23900
Q12206	P16140
P54837	P38825
P38806	Q03705
P22224	P20449
P38199	P53233
P39015	Q04924
P31382	P50113
Q12309	P54861
P36054	P32380
P00937	P05085
P31334	P38266
P48562	Q03124
P38292	Q02630
Q06488	P07143
P02992	P32800
P38328	P40343
P38881	P40468
Q02486	P37299
Q06835	P54113
P40565	P50091
P14907	Q06672
P53846	Q04868
Q03774	P28817
P19263	P20049
Q05933	Q08245
P53867	P53218
P43579	Q01477
P24719	P46947
P40573	Q12403
P40530	O13539
P53549	P38931
Q99189	P53844
Q02796	P40987
P25554	P33399
Q03018	P38817
P53955	Q00764
P36049	Q04839
P41810	P23059
P47042	Q05583
P36147	P06208
P38187	P38170
P17890	P38809
P50111	Q06336
P00572	Q06704
P53326	Q04632
P47037	Q08287
Q00723	P21957
P34756	P32860
P38821	P40359
Q12098	P37370
P40562	P0CG63
Q04003	P38333
Q06224	Q02196
P43321	P27636
P54785	P32660
Q12199	Q12099
Q06218	P54790
P39929	Q03976
Q07887	P40357
P39706	P38111
P06843	P33203
P38920	Q06096
P53914	P38833
P25441	P03879
P39083	P36000
P38629	P32854
Q05636	P41814
P38165	P53865
Q12366	P28000
P07257	Q07623
P32599	P47120
Q04264	P53170
P38218	P36149
P38860	Q03713
P17255	Q06479
P40496	P38712
Q05050	P38853
Q08208	P34252
P32458	P07253
P32489	P40573
P43572	P38687
P32368	P41811
Q06159	Q06336
Q06678	P48566
P53320	P38064
Q06810	P41543
P53146	Q02775
P38991	P32500
Q12055	P35209
P13185	P53135
P22141	P12611
Q08906	Q06336
P40096	O94742
P32608	P21268
P38707	Q12071
P19145	P14693
P15436	P34224
P38902	P32588
P25300	P23561
Q00916	Q06412
P32463	P48565
P47057	Q12343
P53981	P54785
Q12250	P43572
P22035	P53983
Q02890	P28743
P25655	Q00816
P19659	Q00916
P50101	P53277
P40090	P40070
Q04226	P41735
Q01852	P53290
P25045	P41911
P39936	Q03071
P12385	P38523
Q06071	Q12379
Q00723	P27796
P53187	P14242
P22203	P37299
Q02795	Q08387
P69852	P48582
P38817	P53170
P21651	P47017
P32486	P41544
P28495	Q12395
P10862	P53201
Q12748	P24280
P38827	P34756
Q03018	Q12344
Q02159	Q08981
P0CX44	Q3E7Y6
P42900	P53202
Q12334	P53971
P32499	P41920
P80667	Q12124
P40495	P15790
P20438	Q08119
P09938	P34077
P46673	P33892
P40858	P53905
P38086	P38325
Q12206	P38863
P53883	P38193
Q01476	P40505
P50089	P34253
P26755	P53114
P38772	P33330
P25369	Q02948
P32490	P36126
P36006	Q12445
P40007	P32794
P39702	P32337
P38065	Q12449
P15442	Q12024
Q12107	P06169
P33323	P53843
P40541	P33895
P50113	P53722
P32874	Q02457
P19358	Q07657
P32351	P19880
P35208	P52910
Q12117	Q12338
P53251	Q06287
P38827	P46682
Q12477	P25294
P38861	P38816
P32905	P21576
Q06632	Q12349
P32457	P39722
P38276	P40212
Q06406	P36005
Q12248	P31384
P39705	Q12262
P25605	Q04031
P25298	Q03920
P15731	P41940
P41813	P21339
Q08492	P29340
P25579	P53179
P53971	P36525
Q06208	Q99383
Q12129	P47140
Q05080	P06704
Q12343	Q08471
Q08966	P36083
Q07657	P38181
P15938	Q06707
P50946	P53981
P36527	Q05471
Q06697	P43535
P31386	P22803
Q03195	Q08236
P38783	P31111
Q01159	P53135
P32491	Q08726
P32502	Q06440
P53166	Q12000
Q08231	P07276
Q06673	P53266
P25386	P13099
P40087	P37370
P39969	P35193
P34217	P27705
P53843	Q03829
P38116	P33329
P38175	P38250
P21306	P32641
P39935	P14724
P39944	P54005
P40541	P38922
P0CX50	Q3E846
P53207	Q04410
P38957	P32379
Q12368	P46959
P13186	P07257
P53305	Q02796
P43598	Q06835
P38208	P25302
P38738	Q08492
P11709	P38737
Q12251	P30283
P22149	P40150
P38013	P47149
Q02983	P14063
P06843	P35181
P25359	P40509
P49017	P53735
P39985	P20081
P21243	P06197
P38871	P25584
P20448	Q06336
P53933	P38121
P53207	P38959
P38888	P25579
Q12455	P25808
P04147	Q08438
Q04659	P38821
P54786	P22203
P06104	Q06338
P32357	P38932
P25348	Q01589
P35732	Q03785
P07806	P81450
P19955	Q02608
O14464	P51534
P47074	P21576
P38013	P05737
P53112	O14464
Q04279	Q6Q560
Q03835	P53189
P40422	P39744
Q99344	Q02159
P53125	P11076
Q06648	Q92317
P53937	Q12344
P38637	Q06449
Q08490	P53549
Q04924	P43601
P24871	P53914
Q02721	P28834
P40055	P36112
P09032	P39015
P53297	P37838
Q05905	P25626
P39742	Q03213
P22139	P38234
P53251	Q12329
P40019	P53333
P39521	P40362
P38932	P38701
P53212	Q06109
P40348	Q12734
P39108	P25847
P32447	P40462
P36012	Q12013
Q08179	P47041
Q12134	P38238
P38238	P36068
P48564	Q03687
P38826	P33748
P26309	P09938
Q03937	P38255
P53010	Q03691
P24719	P40335
P38623	Q06834
Q12033	Q12246
P00815	Q08956
P13902	P20081
Q08921	P07262
Q04003	P48360
P10174	P43605
Q06108	P30657
P40494	Q12134
P32561	P89114
P46151	P10964
Q12125	P36008
P38707	Q03654
P37370	P42073
P48564	P15436
P53201	P53114
Q08236	Q04175
Q05934	P25342
P40358	P53390
P06779	P35718
P00427	P53043
P52891	P48527
P07347	P36100
P09457	P17558
P40340	P29539
P25646	Q01662
P54860	P40014
P40449	Q05518
P22515	P32529
Q12517	P14922
P38934	Q12280
P19524	P32607
P39952	P06700
P38219	P05030
P40956	P33202
Q12292	Q05021
P25566	P38877
Q02486	P52870
Q07457	Q06511
P49960	P35817
P34232	Q04739
P25369	Q05468
P42836	P46984
P53738	P53538
P38784	P47150
Q04697	P47025
Q03254	P52960
P33760	P32787
P40010	P25626
Q12262	P19955
P53266	P25632
Q04272	P33329
Q07732	Q06505
P15646	P07342
P53094	P48560
P53008	Q01939
P22224	P32495
Q07807	P35127
P32914	P47140
P53949	P40327
P35189	P29703
P46963	P52286
P41808	P53067
P0CX46	Q02908
P39705	P49167
P46676	P41806
P53170	P32617
P39926	P50942
P47054	Q05468
Q04431	P22035
P38170	P48563
P00899	P24280
P32893	P24482
P40026	P32905
P07262	P50111
P14127	Q12447
P11076	Q12267
P40030	P38881
P56628	P31539
P48415	P39702
P38247	P28320
Q3E7B2	P36152
P06101	P23202
P06704	P40546
Q06706	P33204
Q03769	Q04636
P05694	P38089
Q04697	P38934
P09032	Q02774
Q04228	P32618
Q12749	P32943
P38247	P25642
P53953	P53136
Q12164	P53899
P38903	Q12486
P32368	P40016
Q00381	P38771
P38086	P53135
P22213	P40362
P40518	Q02196
P34072	Q04739
Q12136	Q03723
P38782	P38817
P40064	P25649
Q96VH5	P38863
P40517	P23638
P04840	P38132
P24867	P47171
P40955	P53865
P38869	P14693
Q03868	P38688
P40554	Q04472
Q06682	P19097
P18480	Q04002
P54199	P32800
P46973	P01149
Q06632	P46954
P32607	Q02196
P47122	Q2V2P9
Q6Q546	P41806
P46989	P25632
P53096	P89102
P40496	Q05024
Q04368	Q08961
P22082	P38429
P33420	P31382
P31688	P28000
P38771	P16523
P38207	P22696
P07262	P40568
P25300	P36144
P41817	P47068
P53437	P47117
Q12082	Q12211
P27796	P38902
P36041	P32336
Q06449	P38624
Q08873	Q02642
P21306	P47149
P37293	P08466
Q08956	Q12083
P47140	P0CX24
P32854	P18239
P38833	P53150
Q03308	P36123
P32864	P38803
Q02774	Q12365
P40036	Q04461
P38771	Q12297
P53201	P36144
Q07844	Q08245
P53185	P36015
P37838	P32945
P47140	P40362
P38084	P40344
Q05029	P38297
P06102	P41910
P48234	P21524
O14468	Q03361
P38297	P37370
Q12216	Q12445
Q12082	P32479
Q07454	P22007
P33750	P46946
P50875	P23202
P53148	Q08977
Q01159	P46973
P30822	Q04067
Q12246	Q12122
P06843	P21306
P38229	P38144
P38257	P53738
Q12510	P46151
P12868	P40511
P32854	Q03103
P38990	P38300
P49018	P38753
Q06178	P04840
P34232	P00572
P04147	P15424
P43612	P38633
P00175	P40356
P06168	P03879
P40961	Q08229
P52490	P32493
P36168	Q02820
P25302	P53267
P47158	P38874
P36146	P32502
P38153	P32790
P43563	Q02204
P32911	P38934
Q03361	Q12161
P11709	Q04272
P53251	P32485
P53220	P06839
P33421	P00924
Q08726	P06101
P38147	Q07887
Q04964	Q05580
P38931	P43568
P38968	Q02772
P32849	P32481
Q12055	P34909
P54730	Q03020
P47025	P12866
P38285	P38768
Q05670	P27616
Q03661	P53313
P36090	P38260
Q03153	P29295
P17122	P20435
P43601	P43583
Q03940	P06777
P40992	P38431
P38264	Q03063
Q99383	P53540
Q04964	P20133
P36520	P40955
P32829	Q07821
P50942	P00924
P50276	P36100
Q01722	P53951
Q12297	P25382
Q04311	P38074
Q07915	P53114
P25336	P10664
P40021	P38700
P31412	P38701
P47141	P28707
Q06624	P53313
P12686	P49960
P38254	P38237
Q06324	Q03406
P53881	P39015
P33755	P38811
Q08387	P39968
P53152	P47103
P38758	P38826
P32419	P22137
P09032	P40993
Q02685	P00854
P22579	P53893
Q08726	Q06679
Q05775	P53239
Q03290	P40505
P28003	P33338
P06838	Q01590
P53166	P10962
Q08773	P38266
P00445	P21339
P33749	P00924
P52918	P15424
P07143	P33749
P38751	P42837
P26448	Q12159
Q04935	P33302
P36523	Q08961
Q03868	P53866
Q02685	Q05541
P38788	P0C5N3
P39720	P21825
P32499	P50942
P25646	P38792
P53168	P40019
P36104	P48240
P25649	P32458
P32805	Q03898
Q03153	Q12297
Q02820	P07249
P38930	P37296
P38753	P00445
Q12477	Q02805
P09624	Q12149
Q04693	Q12125
P32898	Q01662
P25366	Q05541
Q03944	P28519
P40070	P38337
Q05905	P06704
P46679	P43596
P38429	Q04659
P33322	P31386
P06102	P38788
P38282	P35200
P11747	Q12149
P53158	P38262
P39521	P41057
P28743	P53165
P13185	Q02820
P07255	P21268
P38758	P33204
P40096	P32571
P40059	Q9URQ5
Q00711	P21771
P04821	P04911
P13186	Q02516
Q02753	P53195
Q12092	P53195
Q03018	P06242
P46964	Q02336
Q12415	P06838
P53378	P21192
P31412	Q03761
P20459	Q04598
Q01448	P43558
P53295	P27929
O60200	P32944
P41800	Q03466
P20967	P53622
P35718	P04803
P36517	Q12000
Q12457	P40358
Q05791	P50105
Q07913	P27929
P47089	Q06164
P53830	P38907
P25382	P33442
P05453	P38818
Q12118	P40106
P36122	O14464
P53178	Q06469
P53981	Q12315
Q07362	Q02206
Q04601	P31384
Q12481	P22133
Q07913	P32769
P36167	P53881
P06243	P08067
Q03503	P38712
P32660	Q03829
P0CX44	Q06211
Q99380	Q06169
P33767	Q01919
Q03337	P19454
P36130	P40994
P22353	Q01159
Q05024	P23301
Q02197	P16451
P38872	P00427
P05373	P25298
P07866	Q01080
P32578	Q03579
Q12487	P39944
P00830	P38927
P12868	P50094
P38840	P25302
Q01454	P20435
P40507	P25649
P38228	P06704
P39722	P38304
P0CX42	P33442
P34111	P38736
P40541	P32917
P53959	P00942
P38080	P38990
P19736	P32490
Q12224	P41896
P39875	P48525
P38872	P41812
P25646	Q3E830
P00937	P21651
P53196	P53224
Q06604	P53971
P40957	P38236
P47027	P53290
Q12060	P22135
Q06132	P34078
Q03956	Q05809
P06106	P32895
P38633	P38072
P33419	Q04949
P53974	P22137
P39730	Q02516
P39706	P50874
Q12052	P53851
P53044	Q03010
Q07508	Q01329
Q00246	P28274
P38116	Q06631
Q05123	Q04049
P06843	Q04867
Q12009	P46673
P31244	Q12175
P26570	P41813
Q04969	P46655
P02992	P38922
P07256	P53323
P06787	P06786
Q03868	P33334
P25374	P09119
P28834	P18494
P38696	Q03048
P38110	P32769
P43588	Q02875
P40364	P20134
P06780	P43554
Q03707	Q03772
P32347	P24384
Q04964	Q04472
Q12098	Q03016
P19454	Q08232
P53280	P26448
P25038	P69852
P10662	P52917
P53736	P53968
Q92317	P33332
P32583	P07256
P15303	P38439
P14180	Q06449
Q12142	P16474
P53974	P32367
P53251	P53731
Q08471	Q03687
P47165	P38273
P38291	P05748
P36057	Q03407
P40530	P53195
P28519	P53968
Q08229	Q3E846
P06844	P36094
P40466	P53327
P34110	P32357
P40395	Q12143
P38291	P54199
P40106	Q12146
P20053	P16664
P35194	P40464
P39521	P38883
P32836	P34078
P36040	P53040
P36122	Q06709
P33203	P25559
P39967	P40157
P35845	P15873
P48524	Q99278
Q03784	P40547
P40480	P07281
P38063	P25566
P40157	P18898
P23724	P05453
P32563	P40204
P35184	P42845
Q00711	Q04431
Q06208	Q06696
Q12224	P24783
Q04279	P47123
P36012	Q12242
P36112	P40061
Q08601	P53250
P36528	P41735
P32486	P37296
P07866	Q12396
P25046	P38523
P23287	Q06406
Q12176	P39007
P39516	P32387
P34760	Q06205
Q07532	P32844
P31787	P23639
P35180	P19659
P48582	P38737
P39522	Q12246
Q12230	P0CX87
P17629	P53958
P38953	Q12188
P14242	P49957
P53102	P53313
P32525	P38623
Q12285	Q12420
P05744	P38074
Q06071	Q02776
Q07930	P36168
P36054	P25359
Q01389	P06704
P22803	P38932
P38111	P53083
P48559	Q12734
P19736	P38829
P38879	P38272
P40509	P80428
P00175	Q06213
Q06525	Q08951
P52917	P40559
P41735	Q04749
P53599	P04051
P47128	P36123
P47149	P11076
P21264	P16547
Q12453	P47045
P10662	P29465
P20049	P30775
P53295	P53865
P40565	P10080
Q12329	P40462
P38736	P32842
P38782	P50109
P38207	P41811
P38922	P38120
P34232	Q06707
P38688	Q04693
Q08726	Q12509
P53305	P32773
P21691	P27809
Q03010	P38872
P40155	P21372
P40480	Q04779
P47068	Q02983
P38439	Q12055
P30656	Q02336
P38958	P47187
P18410	P25554
P20049	P0C0V8
P40087	Q08285
P39010	P40513
P47061	Q07541
P20052	P30657
P53251	P25441
Q06001	P41903
P48360	P36016
P39995	P23900
P38149	Q99260
P40016	P32773
P42845	Q03921
Q04599	P89102
Q06623	P38907
P38859	Q08873
Q04226	P39969
P40454	P40955
P53320	O74700
Q05789	P48240
P12612	P89102
Q07921	P33775
Q12416	P43597
P40019	P39013
P34218	P38766
P05743	P53278
P47104	P25453
P53829	P50874
P39937	P25453
P54885	P47054
P34761	P05317
P32864	P24279
Q03660	Q03071
Q08232	P35180
Q04659	Q12532
P36019	Q03338
P25693	P40462
Q02516	P40150
P38788	P40990
P39104	P09798
P27882	P21339
P22203	P47976
Q02767	P25847
Q12013	P42073
P11075	P53600
P42935	P69771
Q07084	P13856
P53871	P48237
P38590	Q07532
