P48563	P25348
P39993	Q08932
Q12455	Q08831
P33330	Q04213
P50101	Q04839
P12954	P33315
P53250	P89114
Q02784	P38811
Q04183	P38791
Q99383	Q3E705
P26784	P32461
Q03579	P25339
Q08179	P40072
P05626	P11325
P42900	P39007
P57744	Q12402
Q03920	P42847
P06839	Q05789
P22515	P35178
Q06340	Q07879
P35210	P38316
P32497	P40016
P53905	P36008
P38325	P36115
P38915	P11927
P20447	P25342
P40994	P32807
P38825	P53157
P20081	P40513
P25623	P50106
P43596	Q08273
P40517	P50111
P53851	P16523
P39743	P40094
P47111	P38840
P32570	Q04217
P48510	P53317
Q05946	Q04311
P29703	P53599
Q12440	P46988
P11927	P14291
O14464	P40567
P40096	Q06032
Q08562	P43638
P50947	P48510
P00330	Q00764
P53163	P38212
P53253	P46959
P43639	P53861
P38222	Q06333
P54999	P41806
P34224	Q04472
Q04226	P15367
P42939	P47064
P32892	P25039
P32892	Q99186
P26754	P53064
P15367	Q06211
P09201	P43598
P36096	P28778
P38241	P38307
P38146	Q06344
P14063	P38110
P04147	P38877
Q03246	P32783
P22082	P41697
P22336	Q08229
P35208	P02829
Q08245	P33419
Q04461	P38816
O75012	P34164
Q12050	P38297
P53311	P32588
P38175	Q08561
P40045	Q03532
P38797	Q12246
P43639	P14063
Q3E846	P33304
P53829	P42838
P00330	P40212
P36526	P33755
Q08231	P28004
P43609	P53277
P25649	P40208
P34252	P46673
Q03433	P39743
P13902	Q06525
P40086	P53953
P38164	Q12030
Q05930	Q12532
P53894	P32566
P24783	P33299
P09201	P40314
P35729	P54791
Q12361	P07270
P53633	P38198
P47075	P38351
P47120	Q05610
P32387	Q12518
P53863	P53840
P33304	P38877
P27515	P34756
P29468	P25302
Q12211	P81451
P10961	Q12342
P15705	Q12345
P32505	P20134
P38682	Q04660
O60200	P40046
Q02486	P00431
P32389	P38989
P22146	Q12495
Q12092	Q08949
P53863	P53261
P52868	P04385
P48582	P14064
P42939	P40069
P38720	P46959
P53104	P40094
P07261	P07806
P32604	P21651
P48415	P36005
Q08236	Q12157
P40156	P36037
P04650	P39718
P10869	P38838
P00549	P23595
P32854	P25336
P04037	Q08273
P53198	Q03195
P47051	P47187
Q06696	P07249
P48559	P40030
P36123	P38291
P23644	P25336
P38138	P29467
Q06407	Q03769
P31384	Q05518
P36057	P53914
P32558	P34162
P14127	P42900
P04803	P36126
Q07887	P40080
Q12440	P48582
Q03940	P39954
P07560	P40342
Q08490	P39929
P40858	P40325
Q05029	P06704
Q12369	P43592
P07281	P50946
P40464	P53942
Q05021	P25348
P38852	Q03750
P36015	P53141
Q12743	Q07468
P38827	P28795
P38138	P41834
Q08921	P30902
P25567	P40348
P32485	Q12251
P41813	P32364
Q02608	P40003
Q04175	P43621
P47118	P53845
Q04175	P32379
Q03824	P38300
P32854	P29366
P41940	P30771
P46970	Q12199
Q06668	P22696
P33313	Q00618
Q02554	P47088
Q12363	P38065
P32604	P38968
P38860	P32628
P25623	P32368
P13517	P08432
P08539	P32832
P28707	Q03162
Q02159	P16370
P49686	P32499
Q12389	P04650
P43554	Q06510
P34167	Q04477
P36009	P49573
P07347	P32366
Q12106	P38742
Q04632	P39731
P38276	Q12349
P48240	Q05024
P38165	P53633
P47104	Q12267
P40512	P33332
P38112	Q00816
P38956	P15731
P02294	Q12004
P53008	Q00245
Q12396	Q08281
P38315	P38903
P39968	Q92331
P39531	Q06623
P17890	P38086
P47136	P24279
P53068	P32496
Q12453	P53853
P25554	P38637
P25368	P36523
P29055	P53114
P34244	P53280
Q12403	Q12164
P14126	Q06469
P17967	P24870
P53076	P38265
P04050	Q12192
P81450	P11709
P48559	P35845
P21954	Q01454
Q12369	Q06148
P18759	P53890
P04449	Q08457
P39515	P46959
P38844	Q03048
P20424	P38903
P31334	Q02796
P38712	P40212
P38352	P25441
P38920	P38307
Q12040	P33748
P19145	Q06668
P53866	P53738
P34217	P25390
P53157	Q03792
P53083	P20053
P52870	P38080
P38428	Q01476
P36046	P32489
P53736	P05986
P09436	Q12488
P19812	Q03338
Q12016	P41543
P39524	Q05024
Q05809	P53032
P53083	Q3E7C1
P05738	P40578
P32841	Q03161
Q02724	P06243
P32453	Q02948
P35845	P32602
P38262	Q04491
P38820	P21190
Q08096	P53135
P25491	Q04053
P08425	Q08278
P14127	P40468
Q12143	P08466
P04037	Q12502
P32342	Q08923
P47158	P17214
P52868	Q02794
P48569	P32618
P32578	P15019
P48240	P32445
Q04659	P32501
P38187	P54885
Q04693	P69850
P34218	Q02950
P39984	P20486
P40210	P33420
P36009	P37262
Q12041	Q02206
Q12481	Q05931
P38957	P33417
P32605	P32943
P38266	Q05040
P47141	P38811
P08466	P40368
P37296	P40957
P38121	O13539
Q12106	P29366
Q03862	P40066
Q06218	Q12241
P33304	P32601
P47015	P36531
Q03829	Q12330
P36525	P50085
Q12221	P08153
P25443	Q06640
Q03533	Q04225
P38086	P38208
Q03785	P07866
P47129	P39682
Q07896	P13902
P38307	P53096
P35201	Q04949
Q04924	P14063
P33895	P34167
Q07395	Q04341
Q03829	P53847
P38261	P36094
P13712	P19263
P53136	P07267
P11075	P42843
Q03705	P32345
P32844	P20967
P30771	P40358
P35189	P08468
Q04087	P43597
Q99181	Q02767
P36019	P40325
P19158	Q12013
P53875	P53166
Q06090	P10849
Q03790	P32445
P20435	P06197
P48565	Q07896
Q07688	P40343
P40413	P38011
Q02821	P11325
P36108	P09547
Q08235	P53604
P38852	P21825
P38757	P0CS90
P32613	P48561
P47108	P25337
P53286	P52917
P32581	P11746
P49089	P17123
P00420	P28817
Q03937	Q08490
P53897	P18562
P32502	P48412
P57744	Q04195
P41800	P38250
P53038	Q06032
Q08961	P38110
P25637	P38751
P47112	P37838
P00431	P13517
P06843	Q08226
P39678	Q03330
P40026	P50874
Q99344	Q08444
P02829	P33759
Q06078	P53250
P36534	P32914
P26755	Q12082
P21243	P47027
P53921	P40494
P46989	P07149
P32336	P39955
P22276	P27637
P31385	Q08873
Q12251	P18562
Q00402	Q12143
P32943	P53313
Q3E7B6	Q12321
P38915	Q03071
P00942	P36123
Q12071	P22007
Q06164	P25555
P32461	P53851
Q00816	P38344
P47170	Q02792
P32628	Q03067
P21306	P35189
P40028	P38888
P38292	Q04401
P25043	P32345
P38207	Q03660
P32613	Q02732
P19097	P38633
Q12277	P53333
P40361	P32525
P35179	P32378
P38264	P04801
P20448	P40318
Q01649	P47118
P33299	P38266
Q08732	Q00402
P34164	P10869
Q06333	P47074
Q03981	Q12156
Q12468	P20448
Q07915	Q12363
P47134	P35179
P40077	P08468
P53192	P39078
P20053	Q01926
P40477	Q08412
P40537	P25390
P47057	P20434
Q06263	P33748
Q04781	P23059
P53911	Q06834
Q12743	P35719
P10622	Q12004
Q06389	Q06672
P34232	P43564
P32526	P53207
P40106	Q12321
P40021	Q07458
P40458	P38987
Q06639	P36041
P36016	P47113
P53233	Q03661
Q08622	P32599
Q07896	Q12164
P40562	P50113
P0CX24	P53861
P0CY09	P53981
P38772	P33296
Q06675	P43593
P39704	Q12411
P14905	P32356
Q05040	P0CX46
Q07879	P43561
P48412	P05030
P53318	P38249
P25515	P53722
P32585	P38781
Q92325	Q06639
P50102	P36525
Q12321	P53320
P15731	P34166
P32839	Q08438
P38341	Q07508
P48237	Q04493
P43583	P06103
P39520	P0CS90
P16474	P38074
P42847	Q04598
P00330	P36118
Q03370	P21576
Q08492	P23900
P32787	Q06639
P32074	Q12250
P39936	P53040
Q04601	P12945
Q03390	P25584
P36054	Q06679
P06779	P35193
P47171	P20434
Q08742	Q03010
P20133	Q06405
Q06673	P12686
P21734	Q04053
P39522	P40160
P54790	P40494
P38273	P36000
P36161	P04803
P22470	Q12309
P43639	P25337
P38219	P53725
P36070	Q02486
P38758	P25491
P35191	P38798
P39013	P38888
P13517	P32473
P36118	P23900
P38825	P29703
P20436	Q06479
P34218	P40340
Q07457	Q02629
P07213	P22470
Q03792	P25366
P40187	P27680
P12385	P32481
P53235	P53437
P47142	Q05583
P32457	P54999
Q03096	P40010
P53070	P08518
P06106	P47024
P06839	P11325
Q12019	P37291
P22138	P32578
P26793	Q04217
Q05778	Q02792
Q05040	P40453
P36024	P53911
P47089	P43573
P40161	P32522
P32862	P33338
Q12071	P31373
Q03048	Q08956
Q05900	P35718
Q12164	P17890
P41318	Q3E7Y6
Q06096	P34761
P40395	P06182
P39928	P22803
Q12509	P06844
P48561	P32342
Q03455	Q00582
Q02554	P15367
Q01080	Q03735
P38785	Q12246
P54837	P38251
P13186	P41895
Q08032	P36015
P38815	P39928
Q04338	P32581
Q04401	P09064
P53184	Q04632
P17558	P47103
P46954	P31539
P49334	P39744
P25441	P43682
Q03373	P25453
P25644	P38855
P87108	Q12434
Q02784	P39077
Q03465	P53849
P43572	P02294
P32387	P53881
Q07541	P04449
P32591	P47167
P24869	P38429
Q07953	P02406
P47129	P40045
P33332	Q06440
P40487	P33420
P29461	Q06512
P50108	P39960
P39938	Q12146
Q00402	P40342
P00546	Q02732
P36118	P53939
P40096	P80967
Q12745	Q12004
Q03799	P38334
Q02772	P24870
P33759	P16370
Q12255	P38874
P40555	P38987
Q06324	P39515
Q02890	Q03776
P40096	P24783
P40994	P38282
P38805	Q04195
Q04935	P25336
P27616	P41695
P53734	P53188
Q06488	P53254
P04449	P53599
P38707	P12945
P06242	Q01476
Q06410	P50108
Q12060	P30619
P09232	P36100
Q06616	P32794
P32447	P38789
P32387	P22696
Q12015	Q00246
P42837	Q08471
P39946	P21190
P27999	P36521
P15703	P53199
Q01662	P32839
Q08773	P32833
P35193	P06774
P49704	P38932
Q08932	P41544
P43561	P39676
P25586	Q12211
P30656	P32607
P43583	P35997
P22470	O13516
P14164	P52918
P47051	P38292
P14741	P05453
P23201	P07257
P16387	P12954
P53108	P38260
Q04632	P38781
P25382	P32605
P47160	P47076
P00424	Q00245
P38881	P07286
Q08956	P36053
P32916	P38341
P46677	P38737
P30771	Q03533
P39936	P38819
Q9URQ5	P32494
Q07084	P27929
P41911	P30619
P39952	P49957
P10662	Q06344
Q04341	Q12129
Q04172	P25386
P46680	P40512
P39985	P22137
P32361	P14063
Q12080	P25300
P40562	P46983
Q08977	Q12176
P50108	Q12250
P11491	P46984
P53254	P40154
Q08226	P22135
P09547	P40422
P40453	P40359
P53865	P32526
P47025	Q03691
Q06224	P40517
P34160	P36115
P38968	P39952
P22133	P43558
P53011	Q12164
P33755	Q02196
Q04217	P32479
Q03691	Q08831
P40457	Q00776
P53136	Q04673
P36096	P46962
P40458	P53317
P35178	Q04697
P06839	P00924
Q02555	P23638
P38708	P20448
P21827	P48563
P38334	Q00362
Q06109	P24004
P38324	P40054
Q12280	P35845
P30656	P0CG63
P25382	P21771
P47089	Q12463
P40468	P38861
P43555	Q02771
P23900	Q99344
P38300	Q07533
P33308	P34217
P38086	Q06630
Q04949	Q02574
P39103	P53290
P30656	P47111
P39010	P40994
P07255	P38325
P34167	Q03246
Q02890	P53163
P13393	Q12469
P38920	P46983
P19658	Q12754
P50105	P23585
P38999	P32910
Q08230	P19263
P33759	P38837
P00950	P21264
P22517	P25566
Q03769	Q06819
P40530	P32588
P36122	P39730
P34252	Q03898
P41910	Q04264
P14359	P48525
P47075	P40357
Q99176	P25554
P36057	P50623
P53185	Q08886
P36000	P10849
P40858	P52491
P23639	P41810
P40571	P38862
Q12052	P47068
Q3E840	P32325
P10507	Q04183
P53224	Q03327
P40033	P33322
P14904	P47047
Q04636	Q06148
P38798	P25359
Q03921	P25491
P46948	P40361
Q08032	P50091
P07253	Q3E829
P10964	P38013
P53108	P42837
P06704	Q03195
P41909	P28004
P53129	P53246
P00560	P53187
Q04651	P40154
P38700	Q99380
P48232	Q02206
P38238	Q12107
P53949	Q04080
P32805	O13329
P53930	Q06677
P53969	Q03497
Q08109	P38871
P39927	P01120
P22470	P40491
O94742	Q02574
P53911	Q12368
P38072	P34217
P38237	Q02875
P40462	Q03718
P53911	P34218
P41911	P24868
P39927	P25632
P54861	P14306
P38276	P40038
P53298	Q9URQ5
P32833	P36009
P32611	P54787
P34232	P09064
P0CE41	Q12165
P53971	P38339
P17065	P34072
Q12156	P32585
Q04867	P32783
P33204	P38869
P38431	P32337
P48837	P22147
P40495	P40450
Q04461	Q03496
P40486	P16892
P40858	P22289
P26755	P53124
P26793	P47042
P06839	P22141
P39073	P36000
Q07807	Q04739
P53045	Q12028
Q01590	Q01159
P23724	Q12387
P39742	Q12335
P38153	P47130
Q07794	P23643
P36070	P38250
Q12287	Q08096
P06700	Q03144
P32569	P38170
P19880	P32458
P07259	P00572
P36048	Q12106
P34222	Q03750
Q02197	P35194
P13185	O13563
Q08723	Q03103
P04456	Q02574
P38827	P39926
P38738	P05986
P16622	P42939
Q08492	P39718
Q08236	Q03280
Q08601	P31111
P25626	Q05789
Q12389	P40561
Q07896	Q12196
Q04472	P52917
P02557	P23287
P53168	P50091
P08566	Q06090
P38708	Q12481
P32521	P38928
P53076	Q00381
Q3E6R5	P26570
P22147	P53742
P25385	P41735
P36008	P13382
P20053	P28795
Q02776	Q02606
P40563	P32774
Q06211	Q06568
P32342	Q12468
P05747	P36047
Q04031	P32561
P42837	P39706
P34252	P53877
P25298	P10663
P53011	P35203
P41910	P08466
Q08742	P36421
P38837	P53212
Q12517	P38636
P32600	P40033
Q00764	P36224
P06843	P24814
P38254	P53914
Q06689	P53333
Q02950	P53507
P00924	P32873
Q04477	P00729
Q12168	P49723
P35996	P22211
P26783	P21190
P41896	P32839
P36521	Q02805
P40013	P12688
Q04305	P07260
P53958	Q04401
P19956	P32841
P41800	Q00578
P34160	P40395
Q04697	P38792
P19262	Q03361
P39723	P32585
P20133	P38219
P39009	P25039
P32841	P38759
P32945	Q08749
P25694	P33308
Q04053	P36019
P14291	P39944
Q12234	P53246
P46151	P40460
Q12265	P40484
P20438	P53949
Q06697	Q08471
P32604	P49166
Q07541	Q00362
Q04964	P53135
P33338	Q04930
P38764	P18851
Q3E6R5	P33301
P04051	P12945
Q12271	P38236
Q08119	P32830
Q08438	P40555
Q04080	P33448
P41805	Q01939
P20434	P21268
P47057	P53195
P53251	P40578
P47015	P07261
P39923	Q06405
P38203	P53861
P35207	P04386
P36124	P43598
P25389	Q07549
Q06511	Q12369
P32898	P41057
P19454	P38307
P38837	P32473
P01123	P34760
P38989	Q04183
P49167	P05626
Q07533	Q00772
P46944	Q08492
Q08412	P21560
P00950	P36006
P22804	P36047
P52553	P42836
P36521	Q08965
Q12508	Q01590
P53266	P22146
P07250	P49704
Q12161	P28005
Q06178	P16861
P27351	Q12194
Q06680	P32473
P38266	P37293
P53875	P21827
Q03337	P36532
P53299	P35729
Q12262	P48232
Q02803	P13574
P39078	P43639
P17890	P21951
P54784	P32368
P38881	P32807
P46949	P25644
Q12045	P32419
P38615	P53318
Q01649	P40537
Q06630	P36108
P38737	D6VTK4
P53082	P47123
P43586	Q00246
Q08742	P43568
P40576	P07261
P38782	P38149
Q06336	P39743
P42847	P26637
Q03012	Q12102
P36168	P32581
P38285	P50874
P41896	Q08962
P25644	P25573
Q12483	Q12199
P34160	P32776
P04821	P38859
P53742	P33760
P06197	P07252
P06242	P32807
P43612	P00931
P36132	P05738
P17629	P07264
P01120	P07255
P06704	P32943
P00924	P38863
P53129	P46964
P34252	O13539
P15938	P32473
P17629	P43535
P41832	P49957
P47150	Q12462
P53158	P32361
P27680	P32571
P30822	P40395
Q12483	P24783
P40495	P04050
Q06071	Q08920
P89886	P38232
P32497	P38784
P32832	Q12285
P21372	P25453
P47019	P31244
Q12306	P22007
P39676	Q03944
Q06810	P47035
P38753	Q12280
Q07454	P53286
P38193	P02557
P14736	Q07930
P28707	P20447
P50089	P34111
Q04007	Q07914
P35719	Q12462
P18759	Q04199
Q03694	Q99222
P20604	P53169
P11747	P21957
P53829	P25293
Q08957	P15424
P08153	Q03406
Q03370	Q06704
P38753	P00546
P25579	Q12157
Q12692	P21190
P47049	P53893
P33322	P40991
P42847	P14904
P40161	P54838
P22855	P14063
P38903	P25616
P48581	P25366
P53830	Q12318
P40465	P15424
Q02939	P39965
P40994	P40460
P40554	P38132
Q05930	Q06208
P29469	P53170
P40485	P17065
P25555	P32559
Q12176	P40212
P32807	P15624
P31688	P22138
P46680	P05738
P53909	Q04598
Q05543	P07866
P48563	P49686
P00854	P39705
Q12192	Q3E7B6
Q03654	P23255
Q05670	P36116
P33399	P06782
P35181	P54786
P35181	Q00402
Q12060	O13563
Q06512	P38255
Q06001	P49687
P40098	P47068
P20438	P40342
P27344	P17214
P23179	P0CX28
P12612	P39083
P23179	Q12124
Q03799	P47029
Q02457	Q05636
Q06078	P48582
P35719	P48527
P47149	Q06639
P80428	Q05934
P38779	Q03776
Q04410	P38274
P32629	P25389
Q07395	P23202
Q96VH5	P07278
P53738	P05737
P14747	P34224
P0CY09	P27796
Q12033	P48234
P15891	P11792
Q3E829	P35177
Q05949	P45818
Q04373	P46954
P53921	P53068
P46680	P27344
Q03280	P08432
P28795	P10964
P69850	Q12477
P38555	Q12071
P43122	P38968
P40562	P53201
P47166	P25299
Q08032	P12688
P49167	Q02205
P46988	P07286
P06778	P53846
P18759	P47041
P53178	Q06512
P23202	Q07468
P40335	Q04177
P0C0W9	P32829
P38334	P14904
P36117	P38888
Q12445	P40038
P53198	P38987
P34072	Q06623
Q06708	P53165
P53239	P46964
P38779	Q08096
P53068	P19882
Q12481	P34225
P34730	P39960
Q04599	P20484
P38884	P39926
P34164	Q12052
P69771	P0C0W9
P40160	P33304
P06779	P38555
P18496	P37293
Q03497	Q04149
Q12297	P22354
Q03769	P06704
P32873	Q05022
P48566	P39076
P47081	Q06820
Q06001	P53114
P38636	P39520
P38193	P49960
P33759	P34237
Q12015	P53032
P35179	P53983
P53899	P46947
P33442	Q92331
Q04053	P16622
P38873	P35996
P27636	Q08226
P53152	P32389
P07251	P32074
P06101	P40014
Q99332	P25386
P32480	Q12311
P49089	P27636
P40968	Q6Q546
P38912	Q12242
P42945	Q06011
P40562	P32786
P41911	P25344
Q04712	Q12334
Q04549	P19262
P06101	P38844
P39967	P39107
Q12348	Q08932
Q08484	P38352
P08518	P37370
P40208	P38823
Q07653	Q08287
Q12027	Q12532
P07143	Q12749
P38928	Q12052
Q03201	P32489
P42846	P38636
P24814	P32795
P32861	P41817
Q12024	P53254
P53093	P38819
P38811	D6VTK4
Q07478	P32344
P35193	P40547
P46995	P46655
P09119	Q12421
P48564	P53974
P52593	P36008
P22133	P53851
Q03067	Q04031
Q06169	P17214
Q99257	P42939
P39923	P36022
P25586	P14736
P38863	P40559
Q02608	P35191
Q04372	P22353
P53218	P21524
P53930	P22203
P38207	P21192
P20486	P47069
P27801	Q99222
P08468	P40507
P42939	Q03790
Q06078	Q07084
P40014	P47103
P32356	P41833
P13365	P19262
P53959	P23900
P04840	P40571
P39007	P53104
Q3E830	P38305
Q02931	P32606
P46677	P39001
Q08273	P33448
Q08162	P08678
P38840	Q06178
P53844	P47079
P06700	P57743
P47054	Q05583
P07266	P53311
P38257	P40013
P69771	P40043
P22543	P36526
P40036	P36100
P40469	P46949
P45976	P32525
P38282	P53919
P01149	Q02866
P38207	P43564
P20484	P39015
P16547	P39928
P00431	P34110
Q12248	Q03455
P40960	P26786
P25515	P53193
P11746	Q12517
P43558	P50105
P46679	P53981
P33411	P32842
P53256	P39517
P38241	Q07622
Q12368	P07347
P36047	P47171
P38123	P17505
P04819	P30657
P38824	Q12514
P53552	Q01852
P21243	Q00816
P00044	P18239
P32489	P53191
P40061	P14741
P23201	P17157
P53256	Q08622
P29469	P36080
Q12271	P40851
Q12343	P33759
P21951	P19880
Q04603	P32481
P28496	P24783
P34111	P38687
Q03687	P32366
Q06142	P39929
P17106	P41920
P07251	P22149
Q12748	P24583
P53899	P38264
P53326	Q00776
P29468	P10961
P38922	Q02875
P22470	P22696
P53317	P32570
Q12518	P40458
P33323	Q08553
P54784	P47077
P34226	P24814
P41810	P40495
P36022	P47822
P47117	Q06090
P06843	P35997
P42945	Q03630
P40563	Q12196
Q04175	P27466
P28320	P22135
Q12027	Q05123
P38041	P20424
P48240	P32559
P39928	P32805
P21576	P34758
P24276	P47170
P25626	Q12495
P38304	P39742
P18494	P10962
Q12060	Q06708
P36016	P00924
Q99332	P18410
P07267	P48589
Q3E7X9	Q03071
P32774	Q03772
Q06677	P36519
Q08144	P43639
P54784	P38881
P38348	P50875
Q07844	P05453
Q04175	Q12083
Q02784	P23561
P32911	Q08032
Q08004	Q02336
Q03772	P28834
P38123	Q03718
P26448	Q07800
P07276	P43321
P26570	P38273
Q06511	P0C2H8
Q03330	P32496
P10862	P32613
P38212	P40571
P31377	P80428
Q06005	Q12387
P07255	Q01448
P16664	P24004
P40422	P38687
Q01329	P24004
P22336	P0CG63
P50945	Q07878
P40498	P38270
P43558	Q12098
P38116	Q03661
P20134	P42847
P38282	Q03687
P53336	P46946
P38285	P34244
P38934	Q00916
Q06344	P24384
P40038	P38797
Q99314	P38825
P47074	P28496
Q12136	P10080
Q96VH5	Q06624
P36145	D6W196
P32565	P39940
P25270	P07149
P53246	Q02205
P46682	Q06178
P30822	P26786
Q06835	Q12420
P38779	Q06164
P47158	P47083
Q92325	Q08924
P14922	P15019
P38922	P04039
Q06632	P25301
P46962	P38348
P81451	P27637
P06243	P34167
P35181	P36131
P34072	P11978
P38120	P11746
Q12186	Q04080
P46957	P32944
Q04636	Q04949
P48566	P31382
P31244	P53131
P22696	P53718
P18480	P21306
P20436	Q12287
Q12395	P47049
P40466	Q07887
P32522	P39013
P32786	P32468
P38265	P12688
P36054	P32379
P38915	P39980
P39923	P01123
P0CX52	Q03016
P19263	P25441
P47049	P40359
P30283	Q12271
P38874	P19882
P25043	P07261
P10662	Q99260
P07866	P14906
P53235	Q02354
P30771	P38013
P18888	P38801
Q08754	P31380
Q03957	P41833
P53890	Q08491
P47006	P38305
P53170	Q03144
Q00539	Q99222
P53834	P47047
P08518	Q08492
P05756	P21651
P38165	P89886
P00924	P38356
Q02260	Q12518
Q03338	P06634
P42951	P53917
P36534	P12945
P28795	Q03048
P41910	P38555
P05739	P25453
Q06510	P38182
P39952	P38212
O13525	Q03533
P22135	P43591
Q12292	P36123
P38313	P38218
P20485	Q02820
Q9URQ5	P32803
P40318	Q06616
P50086	P52960
P40693	P34226
P14242	P47048
P06102	P00560
P40498	Q02642
P39960	P57743
Q12221	Q07362
P53959	P38249
Q08496	P00958
P32562	Q12488
P12753	P06243
P24719	P08466
P25441	P31376
P38879	P0CX42
P40339	Q12083
P43132	P48564
P40546	P38738
P38084	Q03144
P47027	P32786
P25584	P05317
P53930	Q01448
Q3E7C1	P41697
P19880	Q03750
Q02792	P25591
Q12013	P13517
P18494	P32364
P53965	P40185
P53854	Q06245
P12904	Q12433
Q99234	P35210
P48562	Q06479
Q01476	Q03690
P47103	P21264
P53320	P31787
P34230	P08153
P34232	P12954
P53899	Q02630
Q06836	P36009
P33301	Q04053
Q12106	P22133
P07276	Q07528
P53725	Q03981
P47068	P53246
P39935	Q06218
P42943	P43554
P0CX44	Q12297
P26798	P15731
P10363	P32569
P33202	P10663
P53725	P39960
P53958	Q08646
P49957	P47057
Q07879	P06774
P38112	P16522
P37293	Q01649
P32787	Q08003
P52891	P32486
P53600	P38758
P36037	P06839
P36041	P21734
P40303	P54860
Q06224	Q99299
P25569	P42935
P56628	P31384
P38789	P32380
P22219	P40482
P42900	P31377
Q03937	P16474
Q07980	P54999
Q06217	P38632
P33760	P39875
P32909	P32839
P50086	P53166
P50942	Q03735
P47136	P28707
Q12457	P39715
P39743	P06243
P40154	Q12517
P23202	Q06109
Q06218	Q08496
P53833	P38590
P48525	P53930
P25293	Q12734
P36117	Q02931
P35127	P06101
Q08746	Q6Q546
P22035	Q12092
P33299	P32361
P32527	P38265
P53905	P32641
P07273	P47103
Q03435	P39925
P36130	Q04437
Q02820	Q03012
P20676	Q12098
P39875	Q02606
P46671	P13185
P40061	Q02555
P08518	P08466
P40156	P24482
P36112	P53600
P47069	P32492
P35688	P05747
Q06525	Q12271
Q08465	Q12502
P40494	Q12420
Q04651	P08539
Q2V2P8	P52868
P48360	Q02629
P54790	P46973
P12686	P36520
P57743	Q03048
P38817	P53195
P32787	P38817
P53859	P33309
P38523	Q99260
P53326	P32855
P32388	Q04930
P43609	Q12181
P50110	P19880
P38255	P38910
P25344	P22543
Q12745	Q07478
P40106	P53197
Q02948	P05317
P15938	P36224
P11433	P47088
Q07878	P40348
P39923	Q12221
P38753	P47041
P26448	Q08981
P53743	P39014
P54115	Q12432
Q04437	Q06511
P25847	P13902
P40449	P06787
Q03834	P47024
P32911	P53131
P53235	P53256
Q05166	P32874
P38789	P21734
P40495	Q12361
P48569	P53845
P14180	P40965
P32471	Q04935
P38274	P22204
P49956	P40327
O14464	P34247
P38181	Q04697
Q07963	P53318
P15873	P07806
Q12206	P31412
Q12488	P47054
P23639	P26793
P12868	Q08229
Q12292	P35177
P38696	P22219
Q12446	Q03361
P32776	P38429
Q12163	P32344
P22804	Q08977
Q12157	Q12406
P38260	Q12055
Q12749	P53176
P32854	P32609
P22146	Q02725
Q12493	P40578
Q05468	P39526
P38439	P27616
P19880	P40856
Q04410	Q06168
Q07845	P40555
P20134	P38877
Q04461	P47129
Q07963	P09436
P28003	P07266
P04387	Q01163
P47141	P06100
P08566	Q04781
P36526	P53628
Q06410	P38123
P27705	P38838
P39013	P11325
P32378	P53094
Q07362	P47112
P38819	P48412
P05743	P32905
P36102	P27351
P41821	P32266
P36168	P38262
P39720	P36148
P00854	P48412
P22035	P25382
P01149	Q12321
P38123	Q03144
P54786	P14126
P35179	P53114
P07347	P23833
P16523	P39676
P32463	P32585
Q07442	P40477
P32342	Q06162
Q3E830	Q03630
P48524	Q12149
P36121	P27692
P36534	P53735
P32849	Q3E6R5
P39685	Q04599
Q05580	Q12154
Q03503	Q12483
Q12267	P00854
Q03465	P25579
Q03954	Q3E835
P07149	Q02521
Q6Q560	P48569
Q12251	P21374
P02406	P40018
P53193	P54838
P38234	P23059
Q12510	P53721
P06782	P40185
P40567	P48564
P40456	Q12125
Q03835	Q04500
Q12117	P14680
P07866	Q03144
P29469	P36124
Q05775	P41544
P53845	P25337
P22035	P33322
P53917	P40487
P40858	Q96VH5
P32585	P25385
Q06102	P36119
P04449	P15938
P35193	Q00684
P25635	Q08963
Q12476	P53599
Q12365	P32657
Q03455	Q08921
P53738	P38182
P36102	P19073
P04037	Q08923
P28320	P53875
P40156	P40091
P53323	P32471
P53861	P38165
Q07807	Q12306
P08153	P39968
P25566	P06780
P10080	P38757
P21190	P21192
Q06440	Q01477
P32605	P40567
Q06410	P20795
P38013	P53633
P54115	Q05946
P40343	Q99234
P40018	P43572
P40352	P40078
P32581	P04387
P39927	P53125
P41057	P40096
P22139	Q92317
Q06440	Q12460
P52917	P15938
P39103	P48240
Q12330	P38065
P53974	Q02795
P25635	P14907
P39009	Q07457
P42845	P40452
P40968	P32490
P25638	P47822
P40013	P53830
Q07794	P25693
Q04947	Q04673
Q05949	P22803
P40075	P53193
P07703	Q02805
P26798	P38208
Q07381	Q05942
Q6Q547	P47160
Q05543	P48439
P32381	P43618
P23642	O13297
P32571	P43583
Q99257	P50091
P27466	P32609
P53933	P47821
Q12118	Q03308
P32606	Q05543
P43598	P32769
Q12181	P33891
P39744	P34087
P25655	P25588
P53890	Q03981
Q01560	Q06236
P38788	P42846
P17891	P40316
P20081	Q03799
P50623	Q06632
P07261	Q04601
P15731	P40975
Q04199	P50109
Q12287	Q04067
Q99332	P38273
P48361	Q08287
P40087	P38129
P27929	P32863
P53297	Q02260
Q03834	P53207
Q02784	P47057
P47049	P52553
P43563	Q03981
Q07688	Q12395
Q02205	P38815
Q03954	P54199
P29703	P53189
P07283	P36146
P25515	Q12194
P38300	P32354
