P22438	P32461
P40498	Q03554
P38069	P39744
Q07748	Q03559
P47821	Q05670
Q03964	P22516
P35190	P17261
Q00764	P16603
P53177	Q07804
P22209	Q3E840
O13529	P54072
Q06147	P39531
P46670	P40089
P54790	Q08923
P41812	P36047
P38009	Q04226
Q08208	P53066
P32481	Q12260
Q06839	Q02804
Q99177	P40477
P20485	P40094
Q08176	Q12018
P53306	P00854
P32364	P23776
Q12200	P21801
P32525	P38077
P03965	P50113
Q12457	Q04922
P40460	Q3E7Y4
P38887	Q12027
Q05676	Q08281
P23776	P05694
P40094	Q02336
P53110	Q2V2Q3
P40156	P24276
P53064	P54861
P32494	P40028
P45978	P40037
P47081	P50623
Q06148	Q04368
P40099	P06633
P53060	P53843
Q00453	P53983
P04803	Q12303
Q08723	Q99176
Q02895	P13483
P35191	P32564
Q04053	Q06580
Q08689	P0C0V8
Q08202	P20107
P36170	P38932
P53206	P32892
P47098	P47154
P40494	P39713
Q12416	P32828
P40022	P33297
Q01532	P38144
Q04341	P36123
Q08206	Q05166
P21242	P40161
P20051	Q03554
P19158	P07276
Q07541	P32854
P53724	Q03769
P42846	P38741
P38866	P38289
Q12143	P54780
Q96VH3	Q8TGT3
P49956	P53687
P40059	P38351
P39997	P29469
P25366	P43593
P36164	Q3E747
P32331	P38724
P46670	Q10740
Q12349	P30619
P35176	Q02908
P25373	P28321
P40355	Q12499
P38816	P29704
Q06406	Q12317
P17122	P36096
P53130	P39525
Q06417	P07269
P32528	P39526
Q02326	P40034
P38692	Q12454
P39945	Q08693
Q07451	P27472
P38796	Q08268
P36102	P23337
P40473	P33332
P53202	P38112
Q02203	P38861
P38966	P13574
Q3E760	P14120
P26263	P06787
Q02455	P47015
P32835	Q08931
Q12387	P53208
Q12328	P38195
P35183	P38915
Q12511	Q12267
P07807	P28005
P36062	Q03944
P87262	Q12359
P33334	P39547
Q12033	P41948
Q06489	P38928
Q3E735	P32830
P0C2H6	P40955
P32874	P52870
Q00402	P47068
P38922	P38723
P0C289	P53171
P11927	Q08926
P36029	P12695
Q2V2P4	Q08550
P40041	Q01454
P29539	P53723
Q3E743	Q03262
P34220	P47064
Q04067	Q04183
Q07684	Q07351
Q08723	Q07541
P32614	Q04533
P38265	P40151
P39975	P10174
P46673	P38283
Q06287	P19358
P47112	P32559
P48562	P15454
P53275	P40312
P07252	P46679
P53239	P53920
Q01217	Q8TGJ3
Q12443	Q9ZZX1
Q12443	P05738
Q08992	Q12415
Q02981	P38813
P16639	P50105
P40434	P25618
O14455	P36034
Q04921	P53172
P53824	Q06682
P47134	P43621
P40032	Q12029
P40496	P40857
P38775	Q3E832
P40028	Q04658
P39952	P25353
P38127	P38634
P25367	P47008
P16523	Q03758
Q07887	Q08245
P53830	P53285
P40061	P38164
P53983	P24720
Q12149	P32339
P28274	Q3E7Z1
P40560	Q08817
P43639	P12686
P09880	P38837
Q12466	P38284
Q12252	Q08742
P47152	P43597
P40477	Q3E7A4
P40693	P38688
P26785	P05374
P38742	Q12366
Q02457	Q08726
Q12675	P07281
P25042	P38216
Q12035	Q12270
P38826	P46982
P53966	P00958
Q12263	P25587
Q06679	P22579
P38194	Q12340
P38298	Q99321
P32641	P36006
P25580	P32347
P28743	Q12303
P53108	Q96VH3
P32342	Q8TGT3
P39014	P38085
Q06675	P38998
P14741	P22579
P32597	P17065
P23639	P43538
P18962	Q3E767
Q08969	P32453
Q12141	P51979
P47065	Q12480
Q12530	Q00362
Q04693	Q03579
Q08951	P43497
P13393	P36062
Q03760	P34232
P53221	Q12455
P32500	Q08650
P29461	Q12345
Q06412	Q12494
Q04689	Q04003
P40091	P39102
P17214	P32375
P53753	P38820
P36167	P43599
P40054	Q04751
P32327	P53053
P53894	P53177
P33331	Q12018
P40152	Q04439
P40496	P16661
P32528	P32898
P47100	P28625
P26188	P53128
P39735	Q07879
P53097	P38297
P38829	P11076
Q99316	P38861
P53177	P38293
P40079	Q3E795
Q08649	P30619
P38732	P32793
P14724	P04786
Q12185	P40014
P00331	Q12145
Q08970	P53853
P32491	Q12003
P38181	O14468
P32179	Q03868
P53155	P36059
P54838	Q05933
P47115	P50077
Q12213	P54070
Q12218	Q07532
P38806	P39531
P40202	P54784
P49017	P39112
P53334	Q03330
P43569	P21951
P53066	P50085
P47086	P32585
P27882	Q08003
P07280	P25297
P38152	P36015
Q08229	P41056
P13259	P40023
Q12487	P23293
Q03758	P25641
P48813	P39992
P13365	Q06524
P48015	P25631
P30665	P36048
P53316	P40896
P38750	P41940
P19146	P47142
Q12499	P38825
P40367	Q04585
P53972	Q02651
P53745	P38428
P53900	P53293
P43594	P34251
Q07729	P38256
Q07362	P40186
Q04749	P53292
Q05123	Q04930
P38121	P38687
P40455	P53008
P21190	P11914
P36162	P21269
P32837	P0CT04
P47156	Q04734
Q07532	P35732
P38150	P53046
P36123	P23595
Q8TGU5	P53187
Q03124	P38604
P43574	P50896
P46964	P40042
P40563	P00950
Q8TGT0	P36080
P30605	P38352
Q05637	P31244
Q06567	P47064
P0CI67	P32863
Q99296	P38305
Q08995	Q07953
P38880	P31334
O94742	Q04080
P32528	Q07657
Q08562	P32460
P39931	P53892
P36039	Q03935
P33202	P18410
P43635	P07285
P40893	P32571
Q07980	P05747
P21576	P12612
P28743	Q03750
Q06554	P43574
P53867	Q12051
P46654	Q12199
P40449	P41911
P53220	Q07527
P43557	P47047
Q08444	P38070
P20795	P87275
P38182	P53720
P36014	P06634
P40351	P54862
P15019	P48606
P53961	P07280
P53101	P22336
P08638	P38819
P85052	P06787
P38787	Q12297
P39954	P41277
Q07821	P40098
Q07872	P23624
P53137	P47141
P36060	P40164
Q00245	Q99234
P09007	Q06344
Q08729	P25358
P38238	Q03941
Q12361	Q07979
P32319	Q02749
P43614	P06106
P03873	P47042
P28239	P41056
Q8TGU1	O14455
Q04341	P38151
P38137	P14680
P47116	Q03036
P38704	P19146
P40955	P38066
P39083	Q08977
Q9ZZX1	Q12396
P40106	P32465
P38116	P47017
P40961	P40545
P43558	P32770
P25604	P47187
Q05016	Q12158
Q12219	P06244
P38806	Q04373
P35183	P38341
Q08214	P53072
P10127	P38146
P37298	Q05583
Q06568	P32487
Q06208	P22133
P39078	Q12224
Q08646	Q12746
Q06592	P00890
Q04749	Q05021
Q03761	P22202
P38635	P15891
P38958	P48560
P39714	P25656
P38270	P40395
P36096	P32914
P32454	P32645
P24521	P41058
Q12315	P33122
P53921	P53065
Q06523	Q12032
P33328	Q8TGU2
P47093	P10823
P00431	Q04746
Q05812	Q92392
P32364	P36025
Q8TGT8	P40579
P38144	P42073
P39979	P53189
P50089	Q06563
P32583	P46959
P0C2H6	Q04921
Q12277	P36080
P42836	P48566
P38958	P46990
P38815	Q04511
P38141	Q08647
P35193	P43610
P38783	Q12219
P15625	P07271
P39959	P49626
P36005	P21304
P10355	P46679
P32608	P26755
P25638	P53749
P47074	P10127
P37370	P07273
P39083	P40164
Q06524	Q12457
P43560	P48412
Q04471	P53277
P27614	P31111
P16523	P39975
P38590	Q3E771
P16862	Q12119
P53107	P53072
Q12056	P53904
Q06640	P10862
Q03050	Q04458
Q02979	P36026
P14680	P47014
P06782	Q12378
Q02821	P25567
P38797	P34761
Q2V2P8	P32795
P33317	Q04412
P40354	Q02932
Q06134	P53390
P54839	Q07887
P32500	P34237
P06843	P25332
P40072	P39113
P53898	Q12212
P38703	P25355
P39721	P47183
P53243	Q6Q5X2
O13547	Q03829
Q06593	P32454
P53738	Q03554
P36158	O13529
P08536	Q03455
P40070	P53224
Q12052	Q12274
P53915	Q12267
P40011	P47030
P07703	P10863
Q08230	P43554
P39946	P08456
P40047	Q6Q5X2
P53397	P47079
P53843	P35729
P53865	P00401
P27476	P06776
P37898	Q04659
Q3E7A3	Q06001
P25657	P23542
P04051	P32387
P04807	P32907
P53094	Q02516
Q03102	Q12379
P08153	P53242
P40971	P15436
Q04401	P32897
P53058	P38778
Q12242	P38626
P20434	P25303
Q01560	P38206
Q03104	Q99369
Q02831	P36013
P31412	Q08685
P36035	Q04172
P47049	P40519
P33309	P25335
P40481	P42947
Q01080	Q12003
P15790	Q12746
P21538	P36076
P35206	Q02948
P36015	P53743
P38736	P53198
P32843	P25375
P48561	P26570
Q05892	P07274
P53283	P32790
Q07953	P04911
Q12476	P36007
P34217	P38715
P53130	P47046
P32838	Q12241
Q08444	P38248
P32798	P52920
P53285	P07249
P53102	Q06508
P39009	P35207
Q06697	Q2V2P9
P39516	Q07395
P05747	Q03290
P53983	P17260
Q12527	P15565
Q08930	Q01389
P43548	P36044
P39551	P38291
Q12390	Q03327
P40104	P36168
P53135	P40445
Q04958	Q03798
P32602	P40003
P53615	P38682
P32341	P12383
P33748	P32804
Q03835	Q02767
P25361	P69852
P01097	P39935
P53309	P38902
P04806	P43591
P22224	P07252
P36083	P38082
P39954	P46958
P36104	P36163
P36091	Q04067
Q12494	P43560
P22149	P53944
P32891	Q03071
P38891	P07390
P53732	P53734
Q06287	Q03338
P43123	P25558
Q08119	P40554
P40890	P39978
Q12057	Q03880
Q07923	P38844
P38773	Q12133
P53148	P40208
Q06325	P35997
Q12362	P39101
P25383	P47125
P38722	P08539
P39935	Q01976
P53872	Q12355
Q12026	Q08219
Q03262	P39939
P41805	P40188
P39549	P13298
P40219	P32774
P41809	P40446
Q12346	Q08925
P43638	P53952
P53260	Q12676
P54730	P31384
Q02648	P07253
P53049	P53890
P07266	P25627
P09436	P38738
P47145	Q04004
Q12468	P17442
P47090	P53147
P36090	P51601
Q05881	P41695
Q03654	P35187
P32319	P42222
P35190	P24276
P38061	P40061
P27680	P40504
P41895	Q08234
P38934	P32600
P19541	P32787
P36126	P40368
Q05787	P01123
P47139	P40547
Q03776	P53306
P21592	P40522
P40054	P40512
Q6Q546	P36124
P36025	Q03148
P25040	Q08235
Q03631	P35845
P36421	Q04231
P43583	P36118
P38872	Q00723
Q04728	P04449
P40561	P28007
P53080	Q12247
P25502	P28737
P32581	P31109
Q12514	Q02896
P18238	Q3E6R4
P34228	P48558
Q12161	P47159
P40434	P05749
Q12088	P40476
Q00539	P33315
P42935	P14922
P32861	P40102
P40566	P20459
Q04080	P35997
P50077	Q3E825
P37263	P40004
Q12145	P34234
P21264	Q99314
Q02888	Q06466
Q08929	P50944
Q3E7A9	P40497
P40012	Q02939
P26793	P32844
Q12676	P20448
P47166	Q08223
P20081	P0C2J0
P36534	Q01802
P53299	P32912
P38361	Q08760
P36051	Q03920
Q06349	Q08204
Q12252	P53972
Q02884	P40087
P41895	P35728
Q05549	P53309
P38318	P31383
P04817	Q07923
P03877	P34160
P26637	P32907
P39704	Q07804
P53943	P47098
Q08045	P47152
P38271	P07991
Q06200	P39996
P00724	Q02796
Q12379	P32642
P47041	Q04178
Q07887	P60010
P00942	P32467
P25036	P26784
P08417	P38222
P47045	P13663
P46984	Q03631
P04449	P47154
P0C2I5	P89113
P06784	P34216
P35197	P35200
P40020	P00410
Q03236	P40004
P27636	P51979
P25384	P14682
P36139	P07702
P40014	P19956
P38061	P53058
P47046	Q08110
Q12525	P53756
Q08920	P25631
P22543	P43590
Q07655	P23585
Q12445	P43539
P49957	P16387
P36143	P26343
Q05787	P04039
P09547	P13393
P40986	P35183
P53043	Q00362
P39967	P32344
P40085	P40475
P26725	Q04952
P40302	Q12511
P53937	P40094
P46970	P15790
P36037	P32494
Q02979	P53032
P38990	P32773
P22213	P41810
P04046	P29478
P00044	P38065
Q08579	P36112
P50104	P53054
P06197	P38715
P40350	Q03281
P38682	P46784
Q02891	P54784
Q06200	Q05902
Q08492	P31412
P32939	P40558
Q03195	P33307
Q03656	Q12141
P40483	Q04779
P38865	Q12110
P33308	Q01926
P39976	P50896
P38823	Q04067
P32178	P42839
P53631	P38071
Q12085	P38332
Q92331	Q6Q5K6
Q03205	P30775
P40150	Q12128
P53551	P38778
P40106	P39705
P36039	Q12467
Q04279	P53917
P43617	P37267
Q06108	Q04174
Q12482	Q3E824
P40214	P32839
Q08647	Q12154
P32914	P41834
P13298	Q06218
P40014	P15442
Q02825	P25294
P10961	P41815
P40507	P38763
P53130	P36120
Q12458	P25651
Q08959	P53906
P40342	Q03735
P25386	P38911
P08678	Q04299
P53164	P32454
P32609	P47037
Q08215	P41806
Q04279	P32844
P08459	P36029
P40160	P43572
P32776	P27351
Q12067	P34162
Q3E760	P25336
P32858	P14693
Q12511	P33122
P40958	Q03330
Q12483	P38227
P43587	P38800
Q08969	Q06247
P33334	Q12436
Q12383	P38695
P53878	Q99383
Q02521	P40453
Q12149	Q02202
P40018	P27616
P25617	Q3E832
P0C5N3	O13516
P14922	P22276
P53252	P46680
Q02933	P09064
Q03695	P40549
Q03441	P39551
P53313	P54862
P40019	P32844
P38692	Q3E829
Q06408	P28274
P39967	Q9ZZX0
P38131	P38151
P04650	P53144
P23500	P53130
P46669	Q04004
Q3E796	Q03782
P36025	Q3E791
P32363	P32603
P10614	Q08746
P40535	P52920
P40489	P48361
Q03330	Q05473
P07251	P38204
P32339	P06704
P36160	P40003
P34160	P38128
Q04935	Q99385
Q12287	P21954
Q02771	P25626
Q02784	P40468
P53078	P15019
Q04053	P11914
Q12198	Q12403
Q12124	Q12488
Q12200	P38796
P38708	P47101
P15731	P53846
P29467	Q99258
P47007	Q04172
P32900	Q12326
P25381	Q12114
Q03833	P14127
P47161	P38070
Q12286	P46999
P34161	P47051
P39923	Q06525
P53037	P32900
P39685	P40101
P39108	P40481
Q12100	Q12454
P53257	P36087
O13329	Q08581
P53379	P25579
Q12396	Q07967
Q05670	Q12400
P10591	Q03785
P32896	P38232
P31379	P34224
P53720	Q3E731
Q06991	P43548
P03879	P32791
P38817	Q12400
Q12359	P06245
Q08818	P16603
P38315	P22580
Q06349	P36224
P53050	Q07987
Q08218	Q08550
P00044	Q06541
Q01589	P38769
P43609	P32317
P53060	P85052
P53718	P38063
P40512	Q01448
P22855	P10127
P40004	P53907
P36029	Q12108
P48569	Q04806
P21524	Q12496
P14737	P40986
P32259	P49956
Q12086	P40414
P35718	Q07950
P32578	P25555
P41807	P22580
P37297	P53751
P32453	P0CF20
Q06146	Q01855
P36150	Q8TGT4
Q05166	P35728
Q12189	P39684
P39109	P32842
P53171	P05453
P38928	P38109
P53833	P24869
P0CD91	P10659
P10622	P46984
Q06688	Q03792
P36033	P26188
Q04660	Q06676
P53237	Q06505
P50084	P31412
P42941	P38742
P32875	P32604
P54072	P53933
P38634	Q03036
P34237	Q03178
P22138	P25270
P28319	Q12223
P34232	P27929
Q08361	P53834
Q04311	P36007
P53102	Q06644
P38623	P07866
P11972	P38249
P39719	Q06680
P40581	P27692
P38877	Q03705
P40340	P50873
P39531	Q99325
P35817	P35178
P53188	P53011
P28742	P22023
P53438	P27929
P27895	Q04902
P53942	P02829
P0C289	P40955
P50107	Q2V2P9
P40577	Q05881
Q03125	P33893
Q08817	P04051
Q01532	P38301
P10663	P23285
P07834	Q03759
P53215	P40004
P53686	P25336
P47143	P33333
Q12025	Q8TGU1
P36532	Q08924
P10963	P47095
P06782	P38829
P40991	P43603
P16547	Q12496
P36124	P40893
Q05871	Q07793
P33767	Q04418
P32609	Q06200
Q08214	Q06593
P33550	P32583
P53083	Q12199
P46951	P40537
P53121	Q08902
P38866	P42936
P40106	Q00764
P39549	P16603
P40468	P25334
Q04226	Q06139
P49723	Q08969
P38819	P32461
P50078	P53742
Q07821	P25384
Q04439	P07702
Q03855	P29465
P00560	P10823
Q06201	P36162
P36036	P21576
Q99252	P53962
P03878	Q12209
P35198	Q99220
P21264	Q07887
Q12407	P39933
P43590	Q12055
P35176	Q12198
P47977	Q06005
Q02863	P37292
P05750	P43579
Q12271	P53918
P18900	P43545
P38773	P33759
P39678	Q12277
P25353	Q12439
P36040	P45978
Q02598	P53326
P36121	P38013
P53159	Q04712
Q05812	Q02201
Q07794	P38324
P52553	Q08347
P46678	P46995
P02293	Q08561
P25654	P53741
Q08219	P21182
P53833	Q12144
P32803	P40012
Q3E840	Q12378
Q08742	P53955
Q03503	P07253
P24309	Q12157
P39723	P53906
Q08967	P32529
P39925	P36035
P39007	Q03782
Q12204	P20486
P32497	Q04526
Q03824	Q12114
Q02959	P28321
P25042	P41809
P35203	P34217
Q12287	P52892
P53913	P38792
P33322	Q03759
Q12491	P53154
Q00402	P53751
P07250	Q3E762
P39994	Q2V2Q3
P43602	P20606
Q03661	Q3E7Z2
P53397	P54867
P25579	P37302
P17064	P34244
P43122	P09937
P04821	P09064
P29539	P0C268
Q05515	P31109
P38191	Q03018
P06182	P32598
Q07555	P39685
P43598	Q12411
P50091	P40006
Q12343	Q08986
P47111	P40007
Q06506	Q03290
P40012	Q12004
Q04712	P43561
P38251	P07257
P33296	Q03219
P25719	P25605
P43571	P53150
P20449	Q02783
P25357	Q12136
Q07350	Q06344
P56628	P36155
P40156	Q04562
Q04629	Q12063
P43557	P41896
P25443	P53208
P53093	Q12292
Q08224	P36154
P14359	P53135
P14066	P29539
P36145	P69851
P00942	P39924
P53833	P40486
P25039	P53233
P37254	P36084
Q06107	Q04304
Q04344	P48563
Q12328	Q01589
P38121	P20050
P36108	P53745
Q12298	Q04472
P54854	P54837
P33199	P04051
P17157	P43124
P38725	P43636
Q07930	P34252
P40099	P21595
P41818	P40085
P38230	P38845
P06100	P40466
P50102	Q92393
P53916	P41810
P53196	P39001
Q04004	Q12161
Q04748	P45818
P40561	P40577
P28834	P40851
Q04597	P17121
P25339	P38274
Q05672	P43550
Q00947	P40071
P47170	Q12379
P40583	P10961
P22203	P53743
Q04052	P38727
Q08237	Q03655
P48527	P43603
P12904	P40037
P40454	P43575
Q02948	Q07458
P25037	P53040
Q08732	Q04924
Q06406	P09440
P47002	Q07648
P43571	Q03776
P15705	Q08162
Q99210	P46993
Q03466	P05085
Q04500	P53057
P33767	P38882
P46965	P36057
P69850	P52892
Q12157	P38962
P42946	P07274
P36008	P40302
P38207	Q04304
P53740	P17064
Q05468	P40092
P00815	P38704
Q06001	P53170
P38692	P39564
Q06090	P25638
Q08974	Q04231
P47114	P38921
Q9URQ5	P53040
P23542	P40567
P20049	Q12272
P38289	P40969
P25585	Q99383
P32771	P18494
P53974	D6VPM8
P40356	P40040
P33322	P38310
P18414	P34247
P14284	P40359
Q12043	Q06216
P25657	Q06665
P38279	Q12145
Q08226	D6VTK4
P40519	P09064
Q08001	P38353
P36104	P47148
P0CF00	P40534
P18888	Q06213
Q06078	P46962
Q03337	P32603
P32617	P39969
P40080	Q05515
Q02773	P41809
P12385	P53890
Q03497	P53631
P38628	P40016
P38763	P39743
P40580	P38771
Q12745	Q07074
Q12292	P38123
P36057	Q12184
P53183	Q08448
P35195	P07270
P53829	P51996
P25655	Q03193
P39925	P33893
P34252	P10869
P13712	Q04471
Q06549	P38697
P53976	P40564
Q02608	P30605
Q08726	Q07959
P53010	P33314
P37296	P36085
P38737	P49166
Q08816	P13574
P18962	P38287
P29539	P40037
Q04545	P38088
O94742	Q06218
Q08003	P53323
P10863	Q99385
P12753	P43554
Q12184	Q12455
Q01649	Q04215
P42845	Q12067
Q07978	P40356
Q3E7Y9	P40106
P32354	P53839
P53256	P00856
P33893	P53148
P38326	P13574
P38335	P09938
P17157	P38287
P25491	P36102
Q12124	P47771
P40485	Q3E815
P52488	Q06833
Q02647	P07806
P35208	P53822
P40531	P09620
Q99231	P38635
P40481	Q12117
P34087	P40481
Q12119	P39012
P40076	P36049
Q04178	P36517
P39707	P40096
P06838	P48238
P31386	P19735
P32605	P38011
Q92392	P23968
P0CF17	P25639
P43623	Q12059
P02294	P08536
P38828	P38227
Q07930	Q08951
Q05468	P32590
P32495	P47146
Q06813	Q08109
Q03034	P25296
P24719	P15019
P46669	Q06412
P40464	P15992
P48510	P53841
P07390	P36224
P24813	P38163
P41805	P02407
Q3E739	P47016
P40532	P38109
Q08553	P46945
Q12361	P25649
P38236	Q12078
Q12404	Q12504
P07347	P21595
Q06156	Q08491
P04802	P48445
P40961	Q08683
P46999	Q02872
P28737	P36035
P38757	P53009
P0CX09	P38075
P53731	Q05998
P38211	P38077
Q03430	P25574
P53129	P40478
P47069	P32605
Q07379	P40325
P40578	Q12239
P33757	D6VTK4
P39730	Q06628
P54837	Q06469
P40957	Q12273
Q07451	P53769
Q04526	Q12149
Q12321	P43561
Q03096	P24482
P15790	Q3E7Z3
Q02046	P53110
P32472	P33890
P22138	P38915
Q12531	Q12355
P39721	P38177
P36150	P25372
P53910	Q05854
P25441	P36138
Q03218	P39682
P38962	P14905
P22354	P25651
Q12472	P40422
Q12153	P53148
P41895	Q12531
P00560	P53427
Q03218	Q06991
Q3E7Z7	P38272
Q3E7B0	P38313
Q08045	P40538
P53819	P38308
Q05648	P42948
P29465	P25302
P38707	Q02959
Q04093	Q12347
Q03441	P38116
P52920	Q12510
P10355	Q07528
P32357	Q06682
P28743	Q12347
P36528	Q12343
P04037	P48581
P28495	P39008
Q03661	Q3E6R5
Q02863	P42826
P53755	Q12672
P46655	P47133
P38271	P38191
P40362	P41921
Q07532	P36132
P38829	P15180
P53955	P25655
P32579	P32860
P24280	P39743
P53330	P27476
P12945	P53009
Q08986	P32432
P53723	P07278
P06844	Q12157
P43608	Q03533
Q3E769	P40825
P47042	P23285
P53192	P20967
P10863	P38262
P38347	Q02608
P48563	P18411
P50102	Q08217
P38630	Q08270
P32608	P21691
P53010	P53237
P15436	P53923
Q06833	P47165
P25038	P25693
Q01159	Q12230
P39523	P52867
Q12531	P49166
Q12392	P35183
P41733	Q03981
O13539	Q3E751
Q12326	P33894
P32366	P35210
P12868	Q12402
P25596	P48412
Q08182	Q04930
P33893	P39518
P22336	P53246
P25340	P10849
Q08726	Q12158
Q02457	P32458
P38333	Q04477
P40851	P38344
P52923	P19263
O13539	P53250
P00812	Q6Q5K6
P32891	P22434
P20052	P28263
Q12349	Q06201
P43583	P22138
Q02895	P22140
Q04272	Q12159
P53117	P36124
P53177	P47183
P53057	P53119
Q99176	P38717
Q12754	P39515
P23900	P38753
Q00955	P02992
P53046	P53192
P20459	P0CD98
Q12125	P34165
Q06160	P26755
P41815	P39972
P08593	Q03433
Q92328	P40368
Q03855	P0CE41
P38148	P12753
P38759	P53275
P20484	P40325
P53256	Q07351
P09937	P38811
P11914	P36117
Q12252	Q05892
P34234	Q3E846
Q12402	P20459
P43614	P47165
P36080	Q01329
Q05024	Q12217
Q04053	P38430
Q04344	Q00362
P39001	P33334
P28495	P50091
P22203	P21372
Q03362	P53860
Q06449	P0C2I8
P04397	Q06704
P38751	P38137
Q12480	Q07951
P26798	Q04089
Q05948	P53215
Q07589	P07702
P32487	P39718
P25381	P40303
Q04213	Q12386
P25555	Q08693
P29056	P36059
P07260	Q08446
P25617	P53927
P25374	P47149
P38873	Q05778
P53299	P49435
Q07895	P38281
Q06163	Q04623
P03069	P23493
Q12510	Q08601
Q3E7B3	P32567
P46995	Q07990
P09937	Q12296
P30657	Q06324
P38776	P05030
P39719	P47053
Q02908	P08468
Q03898	P38709
P53260	Q06567
P47086	P48524
P30902	Q12039
Q01846	Q12118
Q8TGT8	P54003
Q03503	P53202
P41819	P40106
P25375	Q06524
P04161	P53262
P14906	P39731
P48239	P32347
P53252	P21524
P11792	P03069
P23776	P41338
Q06287	P26784
P25344	Q08236
Q05635	Q12146
Q3E791	Q06488
Q08176	Q12079
P40555	Q07418
P38785	P38281
Q07560	Q07747
P56508	P18238
P40353	P25039
P24871	P40494
P49017	Q08968
P38314	Q01477
Q12298	P29469
P38887	P36051
P38724	Q06236
Q04305	P38750
P53238	P46675
P38272	P40917
P32500	Q12380
P32316	P38338
P46988	P53958
P40535	Q12499
P18962	P47081
P32898	P11154
Q01684	P38157
P05740	P36056
P23776	P40009
P48439	P32316
P47168	P53336
Q05791	P23585
P36520	Q12459
Q02648	Q04116
Q12408	P28708
Q2V2Q2	P47086
P53067	Q12522
P53120	Q03010
Q3E744	P35206
Q07897	P25293
P53274	P33312
Q03612	Q07807
P40359	P07270
P38141	P39975
P36116	P22134
P53867	P48231
Q03648	P16467
P50077	P16622
P38199	P47124
P25037	P14743
P06787	P38698
P40209	P53900
P43633	P53298
P39996	P35688
P40450	P32604
Q08649	P23179
P05738	P33400
P43599	P38197
P33417	Q03407
P0C0W9	Q08581
P54790	P53630
P50101	P22135
Q3E7B3	P04710
Q12016	P43539
P25559	P38707
P47035	P38714
P40572	Q12168
Q08230	Q06178
Q04526	Q00539
P53743	Q06162
P33303	Q08931
P40165	P38875
P34222	P47037
P03873	Q12748
Q08322	P53163
P36516	P40985
Q03702	P54007
P36520	P38715
Q04212	P43592
P48445	Q04052
P25615	P25364
Q06673	P38711
Q04991	P53858
Q12523	Q03660
Q08693	P12688
P48234	P47115
Q12207	P53378
P38742	P33893
P41809	Q12024
P53118	Q12377
P00358	P38729
P39535	P49017
P22213	P25573
P40347	P38129
P20485	P47031
P53196	P09435
Q12398	P49686
P00549	P42836
P33894	Q07532
P40159	Q06505
P38694	P53267
P35735	Q06150
Q05785	P08638
Q99231	Q04893
P42846	P38249
P38882	P53584
P02992	P40090
P53728	P53892
P30606	P32893
P53940	Q04018
Q04377	Q05790
P53860	P43615
P10591	P22209
Q12414	P53260
P06776	Q05791
Q06188	P06105
P53973	P47126
P04387	Q03667
P42947	P53219
P40530	P40547
P16649	P21657
P53870	P53203
P40455	Q07534
Q12412	P53079
Q12024	Q07442
Q12446	P25383
P04046	P38845
P53295	P32912
P47119	P19659
P38109	Q04322
P53852	P10664
P40050	P47030
Q03083	Q99380
Q12493	P40029
Q04214	P53727
P39935	Q3E769
P46670	P34232
Q08172	P53158
P53688	P05373
P38698	P27466
Q92317	P53230
P41895	P53956
Q3E813	P50086
P40451	P40994
P32387	P35997
Q03290	P38776
Q06010	P53297
P04397	P19807
P23255	Q03533
Q04003	Q08553
P38988	Q92331
Q12433	Q07540
Q06639	P21951
P53295	P40020
Q04053	P32504
P52490	P0C268
Q06704	P41810
P38791	P46959
P38992	P53063
P39979	P47035
P41903	P32893
P40524	Q03153
P25343	P38992
P17065	P06738
P07250	P53243
Q12408	P40095
P38821	P42844
Q12459	P50107
Q03530	P38308
P40574	Q06148
Q12205	Q03434
P38211	P43565
P40580	P53841
Q12191	P32569
Q12216	P32795
P08019	Q03862
P43682	P47122
P33308	P38725
Q05584	P25351
P05749	Q12672
P53839	Q04228
P21827	P0CX13
P38887	P32829
Q05543	P25364
Q8TGS9	P41816
Q12198	P38347
P40580	P50873
Q07845	P53174
P00427	Q07986
Q12424	P38342
P09624	P47822
Q06593	P40586
Q05911	P25037
P42936	P47161
P38293	Q02555
P0CF16	P32387
P46956	Q02608
Q07540	P09937
P53221	Q03081
P10614	P25373
P36091	P43538
P53037	P40892
P53214	P40350
P40511	P32505
Q04399	I2HB52
Q12124	Q04307
P32829	P53049
P35731	P40512
Q04792	Q05543
Q12152	P31376
P40002	P38698
Q99252	Q12329
Q06673	Q12461
O13516	P10834
P07285	P38361
P48238	P0CE11
P41697	P35198
P23776	P53955
P47165	Q08683
P48568	Q07684
Q12230	P25342
Q99258	P53860
Q99359	P39946
Q12108	P32323
P19524	O43137
P12866	P40481
P15179	Q00246
A5Z2X5	P39972
P12686	P47127
Q99220	P47065
P22134	Q02771
P38351	P00401
P53197	P43570
P53273	P38218
P38740	P53315
Q05931	P15179
P33312	Q06680
P53924	P07251
P53234	P53940
P38293	P46948
P53633	P00924
P32899	P23642
P12866	Q05473
P39735	P38622
Q06623	P04051
P38791	P33329
P53728	P34231
P41735	P34167
Q04311	Q04867
P25339	P0C074
P39003	P21304
P34226	P49089
Q03231	P00498
Q03825	Q3E7X9
P07245	Q96VH5
P39959	P47165
P47056	Q04689
P39722	P14020
P32603	P43573
Q12103	P40070
Q08361	P38063
P40991	P49435
Q03691	P40028
Q05166	P41056
P40558	P38768
P32633	P40449
Q06505	P36170
