Q8TAI7	Q9HC62
Q7L775	O43427
Q9H9H4	Q9BPZ3
Q9H869	Q16629
Q9HCU9	O14727
Q9Y546	Q99767
Q08380	P51813
P29084	Q9UBV2
P25445	P56282
Q9BSC4	O43281
Q9BQ15	Q8IYU8
Q16181	Q8WZA2
P20073	Q9BVV2
Q9H3P2	O15400
O95870	Q2NL82
Q8TEP8	P61165
Q9UKP3	Q9BUL8
Q96KP1	O95183
Q9Y566	Q14191
P20248	O43175
Q16763	Q13347
P42892	Q9Y4W2
Q9BXM7	P14316
Q9H000	Q96GT9
Q9NWB1	Q86WT1
Q9UM13	P51659
O00198	P18031
Q9H6R0	P20336
Q8NEZ5	P50991
Q9H0A9	Q8IXH7
Q14134	Q9Y572
Q9BT88	Q9H9T3
Q96SD1	O00124
P41145	Q9Y651
P00558	Q5T7W0
Q13636	Q9H4M7
P48023	Q86SE8
Q6PI98	Q9UIQ6
Q96G25	Q9Y6N9
Q8N371	P20340
Q14508	P09525
Q96JB5	P11473
Q96HN2	Q99523
Q7Z699	P38159
O14653	P49901
O75056	Q99614
Q9P0J7	Q9NP77
P25942	Q96NL6
P50616	P08648
O43490	Q9H4A3
P17658	P07910
Q6PJ61	Q6ZT12
P49790	P51858
Q15223	Q9UHJ3
Q8TDN1	Q9BUG6
Q8TEB1	Q8NDX1
P61604	Q13133
Q6P656	Q6PJI9
O60763	Q9H773
P49916	Q5BN46
Q9NXR8	P0C2W1
O94818	Q9NQC8
P29084	Q8WTW3
Q9P0L0	O75665
Q9NQX0	Q07157
P28908	P46531
P36575	O75469
Q6ZNE9	Q9Y3B4
Q96IQ9	Q96D71
P09693	Q9NVD7
Q9Y6Y8	Q6BCY4
P40222	P49848
Q15125	Q9Y508
Q9NQT4	Q9UPN6
Q8TAE7	Q9BZY9
O95639	Q96D98
O75293	Q9UBL3
P07196	P00558
Q96IJ6	P35212
Q14683	Q86X40
P36542	O95456
Q6P5X5	Q9UBP5
Q96KQ4	Q96HR8
Q9H6L2	P62424
Q12891	Q9NR96
Q8WTP8	Q96ST3
P02748	P82094
Q8NE01	Q8IWV8
O95479	Q9Y6X3
Q9NX04	Q9NV92
Q96NA8	Q86Y97
P42574	Q14562
P85298	Q53HV7
Q8N490	Q9H1K0
Q9HCU9	Q969H4
O00308	Q9UNN5
P13349	Q13105
Q13761	P49321
Q96JM3	Q9NPI1
P57775	Q6RI45
Q2M2I8	O60762
Q9P2N6	Q0VG06
Q16514	O60337
Q9Y483	O43463
Q9Y2L9	P37235
Q96GY0	O14682
Q2TAL8	Q7L804
Q96CN5	Q6PIV2
Q99638	P63218
Q3KR16	O00165
Q96GY0	Q05397
Q9Y586	P37173
P42702	Q9UNH7
Q8N5I9	Q86WT1
Q9BZ67	Q9UBQ0
P29323	Q9BQ66
Q9BX66	P22466
Q13232	Q8N2M8
O00213	P35222
P13727	Q8NEA6
Q9UK96	Q9C0C2
Q96M63	Q9HCJ0
Q9UBS9	P16284
Q9NZU7	Q9BTW9
Q96EQ0	Q96G23
Q96BZ8	Q9NZN3
Q14019	P60321
Q8N1F7	Q92616
Q9UBT6	Q8WYK0
P30307	Q6UXN9
Q04721	Q15388
P21399	Q08379
Q9UII2	Q96GG9
P34925	Q9Y450
Q8N448	P42338
Q9BZ95	Q9GZU8
Q9H0N5	Q9NRY4
Q9P0V3	P22105
Q06413	Q9H6Y7
Q86UT6	Q5BVD1
O15389	Q5TH69
Q63ZY3	Q96KE9
Q8N8K9	Q16520
Q9Y297	Q0VG06
Q9UPN4	Q9BYV6
Q9ULS5	O14981
P28066	O14733
P23508	P98175
P06401	Q8IZ07
Q9H0W8	O95231
Q14012	Q13228
Q5D1E8	Q15637
Q9BYG5	Q9BUG6
P09110	O00237
Q96PN8	Q15796
O15550	Q66K64
Q9UKT8	Q96GF1
Q8WWV3	Q13087
P43119	Q9H4T2
Q9H2X0	O00330
P13995	Q9H7E2
Q2YD98	Q6PCT2
P16234	Q9BT67
P20226	Q9Y3C0
Q9BRX9	P35221
Q8N6P7	O95433
Q9NS37	Q01543
Q96IK5	Q8TED1
Q7L5N1	A8MW92
Q9P2W3	Q9Y605
Q6ZYL4	Q15121
Q969H8	P51784
P37840	Q92800
Q8TDM6	Q9ULT6
Q96CV9	Q68BL7
Q14103	O00267
P10073	Q6ZRV2
Q9NQX0	P19086
Q15796	Q01813
O94875	Q92805
P30520	Q02388
P27037	P15941
Q14643	Q9UPT5
Q15042	Q9NWV8
Q13625	P15822
P09884	Q96F07
Q6I9Y2	Q06481
Q9GZS1	Q16586
P50539	Q5J8M3
P05019	Q8N2K1
Q96AD5	P06756
Q15573	P29972
Q04727	Q9NXR7
O15169	Q8NHQ8
Q6PEW1	Q14CW9
P25205	Q96NT0
Q969P0	Q9NRG1
Q92945	Q9GZT8
Q6NSI4	Q15649
O14981	Q6A162
Q96KG9	Q9Y5W3
Q8N9H8	Q8IUC6
Q9BT43	Q75VX8
Q96J77	O43681
O95182	Q9NX01
O60346	A1L390
O75843	O00161
Q92616	Q13227
Q13601	Q92731
Q8WUZ0	O94886
Q9H0D6	O75317
Q9UDV6	P10074
Q15750	Q01959
Q9Y5K5	P14316
Q9NSP4	Q9Y5S2
Q9P000	Q9Y2D1
Q9NXF1	O95613
P13804	Q7L2E3
P49354	Q8NDX5
Q8N1F8	O95218
P04156	O14653
Q9NX31	Q9Y3B6
Q14919	Q8WTS6
Q12888	Q92729
O15350	Q9NX63
Q8WWB3	Q6ZN17
Q99759	Q16718
Q71RC2	Q86UR5
Q9H1A4	O43426
Q9BXL7	Q9P2J8
Q9Y421	Q9Y4I1
Q6N075	Q15907
A0AVT1	Q96HP0
O00187	Q16633
Q6P050	P29373
Q969Q4	Q12796
Q96MG7	Q9BTW9
Q86UR5	Q99952
Q6PHW0	Q13439
Q00653	Q16512
Q9BXJ9	P61160
P24522	P15880
Q9BY49	P0C2W1
Q9NQS7	Q9BZL1
P31269	Q6P4Q7
O15446	P33151
P20809	Q96IJ6
Q13219	Q9NZ32
Q8TF46	O14682
Q8WZ60	Q712K3
Q9NRP7	Q8IYX3
Q9HBG6	O15409
Q9ULW0	A8K8P3
Q53GL0	Q71F56
Q9ULV8	Q8IVU3
Q9UHV7	Q6PD62
P78527	Q9Y448
P22301	Q6ZNE9
Q8N5I9	O15294
Q9P0T4	P06213
Q9BXV9	O75164
P16070	Q9BQ04
Q96LZ7	Q96MN2
Q7Z2Z1	Q9H0M0
P43115	Q6NZ67
P49407	P21145
Q9UHA4	Q96HR9
Q9ULD4	Q96Q05
Q96Q35	O15062
Q7L2E3	P51151
Q9BWF2	Q969S3
Q93074	Q14493
Q9UKS6	P13726
P24534	O75828
Q9UKN8	O00444
Q7L5A8	Q9NQ66
P35227	Q86UN6
Q99700	O95149
Q99595	Q9NXR7
Q9NRY4	Q15631
Q9HB96	Q8N344
P17022	Q8NB90
Q15648	Q712K3
Q13569	P04150
Q9H4Y5	Q9UGY1
P09884	O15457
Q99747	Q8WUJ0
Q86SG6	Q9P0W2
Q8IX12	Q9Y371
Q9NP64	P51784
Q9NR12	Q8NEF3
P29460	Q02447
Q5T700	P37108
Q9BXA6	Q9NYM9
Q8IXH7	Q92804
P35968	Q9NWN3
Q5JTW2	Q6PL18
Q12933	Q9GZS1
Q969G3	Q14693
O75586	Q9H1Y0
P35240	Q9Y222
O15265	Q96J77
Q12770	Q9H8Y8
Q14582	P02458
P08603	Q9NNW7
Q9GZT9	P52272
Q9H269	Q8IWD4
Q15041	P49720
P48556	Q8IYS0
P56199	Q9Y6H5
Q5T6S3	Q9BV19
Q01167	Q9Y2B1
Q9BVP2	P0C7W6
P43268	Q96BY6
Q9Y333	P60201
P52744	Q9Y577
P49915	Q9NX31
P46939	Q13569
Q9C0H5	Q8TBB1
Q14680	O00237
Q8IY18	Q13224
O43541	Q96EK4
Q8N9E0	Q9C0K0
Q9BY43	P54132
P01009	O95990
Q13158	O15400
P26599	Q9GZM5
Q9H2C0	Q9Y2W2
Q01196	Q12959
Q9UBL6	Q02543
O43586	P61254
Q9UBD5	P78536
O60671	Q8TD17
Q8WWZ3	Q96KE9
Q9NWQ4	Q9C0D3
P04234	P62256
O43674	Q9P032
Q9H410	P42772
Q92820	Q05639
O75864	Q9Y6E0
Q96BT3	Q92674
O00472	Q9BRS2
Q9UKZ1	P22460
Q9UKR5	Q14573
Q86VZ6	Q8TC92
O00512	Q13627
Q9Y222	P19532
Q9HAV4	Q9BR84
Q9Y6W5	Q9NRD1
P40938	Q5W0B1
O15355	O00255
O75128	Q12962
O75787	Q9UIL1
Q16626	Q9Y6E0
O95214	Q9Y2E5
Q9BT92	P60903
Q8N9I9	Q8WTV1
O15111	Q53S33
Q9NV96	Q15906
P57075	P52272
Q8N5I2	Q71F56
Q96FH0	Q6PD62
Q86UD4	Q8N6R1
Q8N1B4	A8MPX8
Q9C0C6	Q6UN15
Q13347	Q12980
P05067	Q15672
Q92993	Q99496
P62899	Q15696
O15033	Q14191
P14635	Q92560
O75553	P52655
Q9NPP4	P0DPB3
Q08380	O43889
Q9Y6A5	Q68DK7
Q03518	Q9BUG6
P25815	Q9UIF3
Q9NTW7	Q03154
Q96Q05	P13693
Q9BXH1	Q13951
Q9UBZ9	Q8WTV1
Q86X45	P05120
Q8IW45	Q14676
Q96IZ5	Q8N4B1
O00487	Q5VSY0
Q8TDX5	Q7Z6B0
Q15008	P49918
Q9NX08	Q9GZX7
O95299	Q96MW7
Q9UI95	Q9BYZ6
P32004	Q8NEZ3
Q9NR50	Q96IQ9
Q9BUJ2	Q96CV9
Q13487	Q8N6G5
Q9BX70	Q9HBE1
O43187	P56180
P25815	O95379
Q9BTD8	O95721
P46108	Q96BD8
O94885	Q96J84
O14617	Q8IUW3
Q9H0E2	O60231
Q4VCS5	Q9P2K8
Q9H4E5	P98160
Q06587	P01160
Q5BN46	Q7Z589
O43292	P48556
Q8NA72	Q8TEP8
Q15884	O43597
Q99558	Q68DV7
P00558	P50876
Q9Y2R9	P52815
Q9ULP0	Q13889
P45973	Q9NPA8
Q9NZN3	Q56P03
Q969V5	Q92615
P30101	P68036
O75382	Q92696
P36956	P19447
Q7Z3K3	P52294
Q9UBU9	Q9H2C0
P61764	Q9Y3Z3
Q6RI45	P48507
Q15648	Q92813
Q15363	Q12923
Q5T447	Q8IXB1
Q96J01	Q9UMS4
Q9BQ66	Q9BVN2
Q9NW38	Q96FH0
Q4KMQ1	Q02556
Q6IN84	P37837
P0DI82	Q9Y5P6
Q15050	Q6UXX9
Q9UER7	P18206
Q8IYD1	Q9H706
P37837	Q6P597
Q9UM13	Q9Y375
Q9H074	O94874
Q8WWW0	O15031
O94874	Q14137
Q9BYE7	Q9BQA9
O43298	Q05BQ5
P07947	Q9Y266
P51531	P17980
Q8IYX8	Q71F23
P05546	Q8IXH7
Q96EX3	Q7Z3B4
P07333	Q13105
Q9BXK5	Q8WVD3
P51148	O95347
P50502	O14657
Q6GPH4	Q9UGK8
P08195	Q14533
Q71F56	Q9GZQ8
P42857	Q16600
Q9UHA3	Q6FI81
Q14103	Q9Y3Z3
Q86XI6	Q00526
Q16576	P21926
P05362	P10809
Q8IVW4	Q8N2H9
Q15382	Q9NTX7
Q9NPF4	Q8N3V7
Q15777	P35670
Q8NBZ0	O95210
Q71F23	O15061
Q9NP64	P49715
Q07820	P56962
Q5T655	Q9BRI3
O43264	O95707
Q30201	P04040
P30260	Q9HD47
P29474	P05362
P49773	Q96F07
O00204	P54253
Q9UIF3	Q99798
Q8WYR1	Q7Z465
O00308	P26641
Q14257	Q9Y5J3
Q9Y575	Q15742
Q9NRY2	Q96PC5
Q9Y2F5	Q9UQ80
O75603	P54274
Q9BXJ1	O14746
Q15058	Q9H939
P48509	P13236
Q6QNY1	Q9NQM4
Q9UHY1	Q8N2W9
Q16533	Q96F86
O15083	Q9HCG7
Q9Y3Q8	O00186
Q9Y5E9	Q5T6S3
Q9BU76	Q9Y239
Q14653	Q12805
P02489	Q9UK99
P54132	Q96PM5
P52701	Q16186
Q9NVV5	P04183
Q96PK6	O60231
O14653	P04035
P55089	Q9NW82
P28066	Q96CN5
Q9H9E1	Q96PE2
Q8IYI8	Q8WYR4
Q9BTZ2	Q96EL2
O15015	O75608
P15692	Q9NYY8
Q9BXN2	O14662
P27540	Q12879
Q9UBZ9	Q15329
P50222	O95996
P54725	Q9P0K7
Q13002	Q8IVU3
Q76N32	Q13084
Q9NRL2	P38646
Q9H0U6	Q01726
P17275	Q9BUV0
Q9Y5B9	Q13356
O95352	Q9HAV5
P13798	P50895
Q86UR5	Q96PN8
P24071	Q15369
Q5JTW2	Q9Y3A0
Q9HBZ2	P41279
P30307	P01138
Q9Y2M5	Q92956
Q08426	Q5SY16
P50549	Q7Z6J9
P07237	Q52LR7
Q14562	P16591
Q9Y4I1	Q6UWE0
Q9UBK9	P19484
P98082	O14879
Q9UIL1	Q5BJF2
Q16533	Q9NY12
O60477	Q96T58
Q86Y13	O75363
Q9C0E8	P52298
Q92820	Q969R2
Q8N344	Q9UIA9
Q5VZL5	Q9UBU9
Q8N9I9	Q9BQF6
O95782	O15169
Q96Q27	Q8TEP8
P10451	P06729
P26196	P06730
P04792	O95997
O14734	Q9UBU8
Q8IXW5	Q5T124
Q8NFC6	P13726
Q9Y2L9	P49418
Q9UNY4	P12004
P02792	O00167
P16471	O76071
P49903	Q9C035
Q12967	O75586
Q6ZNE9	P09038
Q13542	P42772
O95198	O95218
Q9NX55	A0JLT2
O43167	Q9NQG5
P50616	Q9Y4R8
Q96RQ1	P51170
Q9NNX1	P37173
P21964	O96013
Q13867	Q9Y5Z4
Q93074	Q9P2R3
P60006	Q9BYX4
Q14587	Q06124
Q9UHC7	Q6P4R8
Q96FJ0	Q96DB2
P15173	Q96GC6
Q12834	Q9Y651
Q9NUV9	Q969H6
Q9Y6G9	Q9H967
Q9Y3B6	Q9P2X0
Q9UHL9	P00736
O75592	O15318
Q5TGY3	P15408
Q13111	Q96BS2
Q9Y2B1	Q96RR1
P21452	Q9BZ95
Q08AG7	Q7Z3B4
Q8TEV9	P10071
P10911	Q9NRG0
O95180	Q6PL18
Q9H1J1	Q969H6
Q96PK6	Q9Y5L4
P21731	P49821
Q8TED1	Q6PGQ7
O94955	O00186
O15535	Q8NEZ2
Q8TF40	Q01081
Q8TDX5	P41238
Q9Y3B1	P98170
Q8IY18	O14530
Q12830	P49247
Q96G01	Q9P0T4
P35916	Q92904
P50895	Q86Y97
Q9UI30	Q03164
Q9H9C1	P02724
P81408	Q9NTK5
Q9BXW9	Q53H96
P62263	Q9UL63
Q9P0J0	Q9UNP9
Q9BZE4	O94888
P30414	P61289
O43427	P0C7W6
O95872	Q9UBS5
Q9UQE7	Q10586
Q14526	O43768
Q96BD6	Q96CA5
O95278	P12236
Q9UBL3	O60925
O15304	P14635
P00533	P56181
P35557	Q5FBB7
Q8IW19	Q99653
Q9H2G4	Q9NUC0
O75113	Q8N5M9
Q92888	Q96BN2
Q9Y4L5	P55199
O15287	Q96S44
P12268	Q9H2P0
Q9NVD7	Q96PQ6
P41229	P04004
Q8N6R1	P20366
Q8IZ26	P42772
O43597	Q9P0T4
P46108	P01579
Q9UQE7	P30307
Q9Y616	Q15125
Q53TN4	O75140
Q15543	O75448
P23467	Q96S97
Q8TCE9	Q8NCN4
P0C7T5	P02042
O15460	Q9NQB0
Q6P1L5	Q5W0V3
Q15696	P20273
Q8WUW1	Q9BXW9
Q9BZE4	P02649
P50748	Q12789
Q9H6J7	P11912
Q96GT9	Q9Y6C9
P42229	Q99417
Q9NXX6	O43681
P78406	P49918
P22459	Q9H5K3
Q9H9E1	P28066
Q96FZ7	O14492
Q6IPU0	O60493
Q8N3Y1	P05120
Q7L5N1	Q7Z3I7
Q9HC62	P26842
Q8TCD6	Q9H706
Q9NRH1	Q86UR5
O15083	Q9H078
P26441	Q9Y5S8
Q99700	Q8IXM3
P27695	P20823
P17947	Q07021
O95278	Q9UBU7
O75828	Q96PE7
Q16533	Q9UGJ1
P42338	Q9Y605
O15121	P17813
Q15003	Q99501
Q8WW32	P26842
Q6AZY7	P55196
P29083	Q9NP64
O95816	P10074
Q9H1B7	Q13895
P51587	Q9Y5X0
O60760	P52735
P37268	Q96LD8
P17936	Q8N2I9
Q9H4P4	Q96F46
P53992	Q969N2
P60410	P01127
P49750	Q12805
O00463	Q9Y399
Q86XR7	Q9Y620
P35251	Q93045
O15541	P35998
Q9NR55	P55196
P48061	Q8IYU8
Q8WTV1	P16410
O14744	Q969L4
Q9ULV5	Q9UIG0
P0C1Z6	P52701
Q9NQ92	Q5VU43
Q9BXY4	Q9Y2R9
O95990	Q15554
Q6I9Y2	P61201
Q5VTR2	Q8N6U8
Q86XI6	Q9BZE0
Q8N5M9	P51948
P14784	O94972
P35606	Q6IAA8
O95210	P51955
O95425	Q92585
Q13239	Q9UFG5
Q8N895	Q12923
P54105	P09110
O43439	Q9UQC2
Q9NRL2	Q8WXB1
P41226	Q8WXF8
Q969V5	Q96F44
P54105	Q04206
P00736	O75182
P00558	Q96JP2
Q04864	Q53H80
Q15370	Q6P9H4
Q9NQC1	Q96HN2
O43847	Q14566
Q14142	Q8IXW5
Q5TH69	Q9NZN8
Q15545	P25788
Q99653	Q8N9M5
Q9BXS5	Q9Y4P3
Q9BZD4	O94776
O15217	P63241
Q9Y239	P57077
P59780	Q16718
O95231	P49770
Q9GZT8	Q15021
O95155	Q6AHZ1
O75663	Q9Y4C1
O43543	Q9P0I2
P26640	Q9P2B2
Q53H80	O14920
Q15041	Q9P0J7
Q14721	Q9BWC9
Q8IW35	Q8NC51
P59991	Q9UMX1
Q08211	O75626
Q02153	O96019
O75030	O60907
Q8IYW5	Q9UK97
P55072	O15534
Q9Y4P3	P08603
Q8N3C0	O00255
Q8TEB1	P13987
Q14674	Q9H9D4
P11137	Q86UF4
Q8N7C3	Q9UII2
Q9BXP5	Q99618
P22692	Q8TCT9
Q9ULZ1	O43678
P20042	Q68DK7
P49450	P47756
P10909	Q9Y570
Q6P2E9	Q9BZL1
P56945	Q14160
P31040	Q9ULM3
Q63HR2	Q5H9R7
P03952	P04085
Q9BRX5	Q8WTU0
P21675	Q07955
P30291	Q92581
Q9UBD5	O43447
Q8WUW1	Q9H816
Q9BUR4	Q9GZV5
Q96BZ8	Q8TCD6
O15126	Q8IZ73
Q9NXX6	O60229
Q9UJX3	Q9C000
Q9BW85	Q9NX08
P48200	Q9H7E2
Q8N140	P06746
P49754	O60925
Q0VD86	Q9Y5B9
P01138	O76083
Q9NRD0	P10747
Q5TKA1	P19338
Q12904	Q6UXX9
Q13404	Q92538
O14618	Q05D60
O75925	Q9NWV8
Q7KZF4	O43504
Q9Y265	Q96QT6
P82912	O75534
Q9BXL6	Q9UHB6
Q9UI47	Q9UGI0
Q8NHY5	O95229
Q86X40	Q92887
O95985	P32780
Q7Z3G6	P21757
Q9Y3Y2	P12956
P78509	P36639
Q9NXU5	Q9UPM9
P10646	P48553
Q9H000	Q99471
Q9NRS6	P50995
O75155	Q8TBC5
Q96EY8	Q9NYF8
Q92667	Q05519
Q13444	Q9BVP2
O95425	O75593
Q99933	Q96CA5
Q9BXB4	P05019
Q16659	Q6P5X5
O43633	Q96HR8
P81408	Q16718
O95996	Q14209
Q9C0C7	Q9BW04
Q92882	Q8N1B4
Q9Y2N7	Q10586
O75052	Q7Z4I7
Q9UMY1	Q9Y548
Q8NFW9	Q9NPE3
Q9Y232	Q9H5N1
Q8TBE0	Q9BVJ6
Q96IY1	Q9BTE0
O95352	Q14318
Q9BYV6	O43759
P24001	A7MCY6
O95235	Q7Z4H7
Q96G25	P42566
Q5HYK7	P45974
Q08170	Q7L945
P46934	Q92900
Q8IYI8	Q13976
Q9C000	Q9C0C9
Q8IZD9	O43572
Q9NQC3	P43034
Q14847	Q15223
P51681	Q9BVV2
P32243	Q9BYV9
P50995	Q9NXX6
Q9P013	P09917
Q96G04	P32314
Q9BWU1	P09012
P54725	P21452
Q9H4L4	O75695
Q8IWT3	Q9UPY6
O94782	O75390
Q9HAY2	P04180
O75170	Q9UHC7
Q9UHL9	Q504Q3
Q9Y5M8	P62487
Q969S2	Q7Z739
P48509	Q8WVK2
Q6ZTQ3	O43663
Q96CM8	P23468
Q8NI08	Q8N6T3
Q15562	Q9Y2T1
P00441	P48506
P48507	Q8NA54
P35247	Q9NRD0
Q7Z3K3	Q8N122
Q9UBV8	Q92609
Q9H9B1	O94989
Q9UBL6	Q9NRA8
P13987	Q7Z3J2
P35070	Q9P2X0
Q8NA72	Q9NZ32
Q9HAY2	P40222
Q9BVC3	P41161
Q96TA1	Q14527
O94952	Q96B67
Q07864	Q92968
P13726	Q8IVU3
Q9UJ55	Q6NUN9
Q9Y4B4	Q6S5L8
P79522	Q9BWT1
Q15056	P98170
Q9NR81	P40426
O15357	Q6ZN04
P05231	Q9Y2K2
Q70Z35	Q12851
Q6ZVK8	Q9NRH1
Q9NV79	P13056
Q9BRQ0	Q96HH6
Q9BZV1	O00483
Q9BV73	Q8TAF3
P61006	Q9H201
Q15596	Q8WVJ2
P48995	P15336
P27708	O43150
Q14526	P21506
Q9H1I8	P52952
Q5VV42	Q9Y388
Q96QF0	Q8TAT6
O75344	Q676U5
Q12802	Q9BPX6
Q53EL6	O95782
O60741	Q9Y5L4
P14649	Q8IWF2
Q9Y6G9	Q5XPI4
Q16576	Q9UDY6
Q9UHD2	P50748
P01344	O95299
Q5PSV4	Q9NX24
P85299	Q9Y2Q0
Q8WXE9	Q8WV92
Q9BXF9	Q5R372
Q9H7D0	Q99689
Q9HBZ2	P19338
Q9P2M7	Q8WYA1
Q96G01	Q12983
P57105	Q8IWF2
Q9UI26	Q70UQ0
Q96JB5	Q9NYL2
Q9H0A9	P30405
Q9NZE8	Q15386
O14558	O15037
Q9HD34	Q86SE5
Q9UJZ1	Q96L50
Q01726	Q15811
O43292	P10827
O15514	Q16082
P17987	O75190
P17931	Q5BVD1
Q16633	Q70Z35
O43318	O94979
Q6PHW0	P35520
P67775	Q9Y5Q8
Q9NQ94	P16234
P02545	Q969H8
Q8IX90	P02671
O95343	Q14289
Q15021	Q96H86
O95391	Q5T011
Q8IYH5	Q13490
O60356	Q14118
Q8N1F7	Q9NZJ0
P41182	Q9UK11
A0AV96	Q8TCG1
Q9H9H4	Q9NQ92
Q8TEC5	P08476
Q9GZU8	Q9NP85
Q01201	O15217
Q9Y2T1	Q92736
Q9UIW2	Q07817
Q9UL03	P11362
P62829	O15360
P27797	P13682
P55771	O14497
Q9P0J7	Q9Y5K5
Q9P246	P50749
Q9NXL9	Q68D86
O00499	Q8N653
O95251	Q13206
O43739	Q86TM6
Q8IWV7	P55040
Q7L7V1	P18858
O43678	Q9Y5J3
O75787	Q92993
Q96HQ2	Q05209
A8K0Z3	P00749
O60220	P67775
P61289	Q99714
Q96N95	Q9NWF9
P19174	O43399
P17947	P52294
Q8IY92	Q8IYL3
P55327	Q9UKS7
Q92793	Q13564
Q09472	Q5T447
Q01094	P35638
P29728	P20933
O95218	Q96BD6
Q9NXW9	Q7Z628
Q15287	P02671
O75962	P10600
P04424	Q9HBM1
Q9UJQ4	Q6ZT98
Q9NQS7	Q13564
Q15648	Q9NX58
Q13435	P14174
Q9UI08	Q9UM07
P78352	Q96R06
Q96I34	P62424
Q9BSJ2	Q99469
O75385	Q14677
Q96F15	O95139
O43516	Q13546
O75330	P14598
Q8WYN0	Q15007
Q6ZV73	P19367
P62316	Q96EB1
Q92736	Q9H6T3
Q9HCG7	P49792
Q05586	Q9UQC2
Q8TF40	Q9ULJ8
Q96SQ5	Q9UQB8
O43396	Q9P2K5
O75161	Q99569
Q9C0D3	Q8TCT8
P20749	Q86Y39
Q5H9K5	Q14088
Q969R2	Q9HC29
Q96PC5	Q6N075
Q9H269	Q58WW2
Q6ICB4	P14618
Q9NW75	Q01968
Q13642	Q8N2K1
P34998	O75843
O43513	P55040
Q8IY31	Q8N9M5
P13984	Q9NQ94
Q15306	P19235
Q6UXX9	Q15020
P08575	Q9NR50
Q9BXG8	Q14BN4
P33981	Q9BRP8
Q96C28	O14763
Q9H0A6	Q9ULW3
Q8WYR4	Q6NXG1
Q04656	P19086
Q9NRP7	P47985
Q9Y483	Q9NWT6
P20809	P13196
Q7L5N1	Q9GZV5
Q99828	Q9BVJ7
P68036	P02724
Q9NQZ6	Q9UK53
O60942	Q9NP97
Q8IUH5	Q9H1J1
Q9UKW4	Q8WUM9
P05023	P09110
Q15599	Q96PE7
P08588	Q14258
Q9UJ14	P35247
Q93008	Q86UR5
P11940	Q8TDX5
O95278	P09693
Q15628	Q9H2C0
Q9UPV0	P05412
P62820	Q12769
P17535	O95243
Q14980	P15172
Q8IY57	P61011
P48775	Q8NHU0
Q8NFH5	Q5SW79
P02489	Q14669
P55197	P04275
O43504	O15355
Q6PJ61	O00743
Q99592	Q9UK96
Q8TBZ3	P22455
O60716	P22314
O00401	P28335
Q86WB0	Q13616
Q96HH9	Q96RL1
Q9UBH0	Q9ULH1
Q15973	Q9UBU7
Q96EX3	Q9NPL8
O96020	Q9H7B4
Q68EM7	O95229
O60502	A4D1S0
Q9BXJ9	P55072
Q96DZ1	Q8IXM3
Q0ZGT2	O95865
O43264	Q5H9L4
Q9NVP1	Q9H1C4
Q13541	Q7Z7L7
Q9Y4F9	Q7Z628
Q96B36	P42684
Q9P0V3	Q9NY72
Q92904	Q8TCU6
Q9Y2V7	Q3SYG4
P28370	P51957
Q9NX24	Q8NI37
Q9H944	Q0VGL1
Q5H9L4	O15083
O15550	Q12824
O15151	Q9UPQ8
Q9BXB1	Q92598
Q8NHQ8	Q96NA2
P58004	Q16790
Q53TS8	Q9Y3A3
Q8N1S5	P62508
P33402	Q9NS73
O95980	Q9BQS8
Q9BW04	Q96A65
Q9UPP1	Q96EP1
Q9NS69	Q5VZV1
Q9BT17	Q9H019
Q96DZ9	Q9GZN8
Q6SZW1	Q96RU2
Q96RT1	Q5TH69
Q7L2H7	O14654
Q96S55	Q9P2J5
P35222	P83436
Q8IW35	Q96RK4
O75817	P83436
Q15599	Q8NFU7
Q8N1E6	P53367
Q96S82	Q9NQC3
Q9Y5P8	Q9Y2I6
Q9BY89	Q15054
Q9NQX4	P15407
P37198	Q8N9B5
Q9H0A0	Q96T21
Q9UDX3	O00429
P13726	P35372
Q96QS6	P49802
Q8N184	Q96RF0
P54802	Q0VDD7
Q9NX70	Q9H0M0
Q5T5A8	Q8WYA6
Q9H0H5	Q8N9N2
Q96GY3	Q96CS7
Q9UNA1	Q14508
Q8TB22	Q9Y2M5
Q9Y572	Q9H270
Q16181	Q5TD97
P48050	Q07812
Q9P000	Q86UT8
Q92813	P43363
P20933	Q2QGD7
Q9Y3B2	Q96PY5
Q86VX2	P55197
Q5JSH3	Q8N1B4
P68400	O14727
Q9P0K8	Q9NTJ5
Q9UJA3	Q14721
Q01959	Q9BVI0
Q03060	P03952
Q8TF05	Q9H1D9
Q9UJU6	Q9Y2K2
O94985	P05181
P37837	P26045
P78352	O00124
Q96GN5	Q969S0
P18887	P50895
Q15022	Q8IWT3
Q9NR46	P07204
Q86VQ1	Q8N511
Q92552	P35251
Q5VUJ6	Q9BV90
P35221	P27635
Q9H267	P10321
Q16585	Q9NZF1
P32239	P27361
Q5BVD1	Q86YJ7
O43586	Q0VGL1
Q6ZYL4	Q9UII4
Q8TAB5	Q8IW45
P41223	O60927
Q9GZS1	Q9BT49
Q13573	P22466
P02746	Q07020
Q96JN2	P31947
Q07157	Q13112
P11308	Q9NQX4
Q9NR30	Q13562
O95835	Q9H9S0
Q8WXG1	P45381
Q8WUU5	P53672
P07196	P12236
Q9Y575	Q9BSU1
Q16698	Q92615
P85037	O00217
Q12982	P20809
Q8NA61	Q8NFC6
O15534	Q9BZS1
