O00291	Q9Y265
Q92817	O43929
Q8IYS0	Q9UHB4
Q96J92	Q3KP44
Q92993	Q96CS7
Q9NQU5	P08069
P51812	Q9NYJ8
Q9Y546	P06850
Q9P2J5	Q8NA54
Q8N112	P01023
Q6PJI9	Q9Y547
Q14142	Q6PCD5
P62310	Q8NB78
Q9BSD3	O60260
Q9Y244	P35398
Q9BXF9	Q9BUP3
P98155	Q9BRG1
Q9GZZ9	Q9Y6J0
Q9HAP2	Q9P015
O95379	P24385
Q5TC12	O60610
Q9UIB8	P52272
O75381	O00401
Q5GLZ8	Q86WZ6
Q8WWW0	Q96HA8
P52701	Q96PV4
A6NK89	Q8N7R7
Q9UBE8	Q9ULP0
P02792	P0DPB6
O75190	P17152
Q9NWB1	Q9UJW0
Q9BUE0	Q86V20
Q9UGJ0	Q8IZJ1
Q8NA57	Q9UHL9
Q9UPQ8	Q9UMR2
P63241	P55061
Q9Y2U9	P50591
Q9UJX3	Q7L804
Q8N5I2	Q9UHB7
P15822	P61011
P11362	Q9UJ41
Q96LD1	P21781
Q6N075	Q99933
Q8WU10	Q9NQX6
P46531	Q9Y6X3
Q92838	Q13216
Q03060	P49773
Q9UBS4	P07315
Q9BUN8	O95801
Q6KB66	P46379
Q9Y3Q8	Q9Y5K8
P01040	Q9NRW7
Q8N9R6	Q9Y3I1
P67809	Q9Y2I7
P52294	P61586
Q66LE6	Q92574
Q9BVV2	Q8NHQ1
Q9H7B4	Q07960
Q6MZQ0	Q9H2X6
O00757	Q7Z6J9
Q15029	P33981
Q6L8Q7	Q92673
Q9UHY1	Q9Y5Y5
O43760	P57088
O14958	Q9NW64
Q6UVY6	Q9BZ95
O00746	P26641
P19532	P14598
O95751	Q8TD08
Q96NY9	Q9NUV9
Q02078	Q9NPH3
Q15466	O75030
Q8IWV1	Q15404
Q15306	P31269
Q04771	Q9BSC4
Q9NWT6	Q07955
P55036	Q16611
P41250	O43521
Q96KQ7	P08579
Q9Y2D4	Q9NP85
O95429	P53992
Q9UFC0	O15541
P07510	Q9Y2J4
P15172	Q9NXV6
Q96FH0	Q9Y6X2
Q99595	P13349
Q92817	O75603
Q8N0Z6	Q5SY16
Q9BQG0	Q9H3H3
O00244	Q8IWU4
P40937	Q9UKT7
Q49AJ0	Q6ZT21
P25705	Q9Y5W3
Q96EN8	P40337
P07204	P26358
P40222	Q9NP66
Q14677	Q8IY31
Q13233	Q8WUJ0
O95905	Q15532
Q96C03	P23497
Q96JX3	Q8N2Q7
Q96RY7	O15078
Q6ZRQ5	O95707
Q96A35	P16455
Q12796	Q9Y2Q3
Q8WXC6	Q12929
Q9NVD7	Q13952
Q9C0H5	P29372
Q9Y5J3	Q9Y6C9
Q9H2W6	Q6PJ61
Q13115	Q92832
Q49AR2	Q96S65
Q99708	O95248
Q8N0U7	P29728
O43294	Q9NY33
Q13563	Q9NS69
Q15654	Q07960
P06753	Q9H0W8
O75528	Q14142
Q9UGI9	Q03060
Q9UK99	P98160
A0PJW6	P61221
Q9BV90	Q9BX70
O15297	P41223
Q9UK99	Q05BQ5
Q96QU8	Q08999
Q9NXD2	Q9NR28
Q9Y4E5	Q86T24
Q5QP82	Q9BXL8
Q5T1M5	Q53HL2
P03886	Q8TD31
Q96QC0	Q16656
Q96AJ9	Q15973
O00522	Q86TM6
P13727	Q9UJ04
Q9HCI7	Q92599
P37173	Q8IWE4
Q9NZV8	Q8TC07
Q6N075	Q9BW85
Q92922	P48431
P56589	Q15772
P03886	Q02241
Q96MT8	Q9BRR9
P49411	O43313
A1L0T0	P18077
Q8NA54	Q9UBP0
P48643	Q96CP2
Q5T6F0	Q9BW66
P85299	Q9NRY4
P01137	Q96A65
Q17RD7	Q96JG6
Q9NZL4	Q5TCQ9
Q9UIL1	Q8IWP9
Q9ULX9	Q9BTA9
P04080	Q5T7P8
Q7L5A8	Q9BWW4
Q8TCE6	P52744
Q96LZ7	P08581
P52657	P33993
Q8NHZ8	Q9Y2B4
P23409	O43516
Q8WTR2	Q8WXH5
Q99497	O15085
Q6ZT98	Q15642
Q9P2J5	Q6ZVK8
P04424	Q9Y2B4
Q15048	P49821
P52294	Q9UMX2
Q15562	P07101
Q92904	Q9UII6
Q9H251	Q96HB5
O75828	Q52LA3
Q99832	Q5JSH3
P28068	Q96ED9
O14980	Q96S59
Q86T24	Q86VP1
Q9NYK5	P52272
Q695T7	P35236
Q9BSH3	Q96KM6
Q9UBT6	P37837
P61960	P24278
Q9UI95	P51149
Q15714	Q9BVJ7
Q13002	Q99871
O95347	P49917
Q9NVC6	O95433
Q96SI9	Q53TS8
Q5HYJ3	Q96DT7
P55036	P11137
Q8WV07	Q9H814
Q8WYA0	P55884
P07814	P49418
Q9Y263	P01303
P62328	Q96QT6
Q9UJT2	Q15276
Q16548	Q9UHJ3
Q15034	Q02156
Q13427	Q8WUD4
Q8NFW9	Q9H0A9
Q9P2Y5	Q9NQS3
P19634	Q8NC96
Q8WUH2	Q9Y2I2
O60216	Q9BZS1
P00736	P25705
Q9UBN7	Q53TQ3
Q494U1	Q19AV6
Q99567	Q6Y7W6
Q70EL2	Q96A47
P02751	Q9BUI4
Q9H0A6	P48995
Q9H6L5	P50747
Q5W111	Q92838
O60318	Q9UMX1
Q9BQ67	Q99747
Q6N043	Q9UBB9
Q96QG7	Q8TB22
Q7L014	Q9ULK4
Q6IBW4	P28360
Q9UIF7	Q9BT67
P01374	Q9HBW0
Q8IZU0	Q9NRD5
O96004	Q9NQZ3
P36507	P22459
Q5JTC6	Q04637
Q9P246	Q86WN1
Q9BPX5	P35247
Q14534	Q66K89
Q66K89	Q5VZL5
Q8IXH6	P08575
Q9NQ66	Q8TEY7
P62750	O14786
Q9P015	P01903
P17342	Q9C0C4
O43660	Q9Y3B1
Q00765	O60678
P78536	Q5BJF2
O75400	P51116
P20963	O75592
Q92625	Q13515
Q7Z739	Q12767
Q8WWB3	Q8N5N7
Q969G3	Q9UBW8
Q96HR3	Q9UBI1
Q86Y39	Q16513
Q8NC96	O95067
O75970	P06703
Q8N5M9	Q9Y272
P00558	P25705
Q9Y624	Q08AM6
Q96GN5	Q9P219
Q04206	O94761
P51659	Q9C0C6
Q9BUP3	Q66K64
P09211	Q96S59
O00204	Q6NW29
Q99732	Q3MII6
Q9P2H3	Q14847
P48506	Q13418
Q8TAZ6	Q8IWV7
Q9UM13	Q15080
Q15796	Q96BD6
Q8TBE0	P57077
Q702N8	P55198
Q93034	Q6ZRS2
P03956	Q16513
Q75N03	P61970
Q9NUX5	Q9GZS3
Q8NAA4	P26371
P78318	Q15386
Q0VDD7	Q9H0A8
P10071	P23769
Q969Q6	Q9UHK0
Q9H7P6	P09110
Q14511	Q9NQQ7
Q9GZP9	Q9NXV6
P20701	Q8N2M8
Q9Y577	Q9GZN1
O95182	Q9BVJ7
Q9HD26	P99999
Q8IYD9	Q9NR30
Q13136	O60260
Q15058	Q7Z434
Q9NQM4	Q96B02
Q5T700	Q9Y5Q9
Q15020	Q02446
Q96BR1	Q8IZH2
Q13216	Q96T37
Q7Z5Q5	Q9UDY8
O14649	Q96DZ9
Q9P2S5	P55089
Q92558	Q9HAV5
P20248	Q12923
Q9ULW3	Q5TA31
Q9NTX7	O43474
Q8WV28	Q9UHA3
Q9UK80	P34998
Q9BWT1	P61088
O14802	Q70IA6
Q96KJ9	Q9BTE3
Q96II8	Q99626
Q02878	P02686
P56589	Q8TB22
O43365	A4D1S0
P49759	Q96CA5
Q7Z6B7	Q9NPF7
O00303	Q92783
O95231	Q9ULZ1
O00124	Q96NR8
Q13576	Q8NCE2
O75335	Q9C0K7
Q96BR1	Q969M7
P00734	Q9HB65
Q9Y490	Q9P000
P55040	Q9NV96
P02462	Q8TBN0
Q9Y468	Q2TBA0
P53041	Q15776
O00264	A7MCY6
O43602	Q9BSH3
P05787	Q9UGM3
Q5JTC6	Q9NUI1
Q8NB78	O75791
Q7Z6J8	P40763
P20042	Q04828
Q16825	O60260
Q9H0U6	Q70Z35
Q9H9E3	Q9UKT8
Q5T2D3	Q9NZU7
Q5GLZ8	O14981
Q8IVT2	O43567
P21731	O95391
P13682	Q9UBW5
Q96NE9	Q92529
Q13616	O60762
Q8NDX6	P50221
P51970	Q5TKA1
P37837	Q16795
Q9BZZ5	Q5UCC4
Q9UJ04	Q14847
P07307	P62906
P0C7W6	Q99612
Q9UKM9	Q9UM73
Q6Q0C0	O95347
Q7Z5Y7	Q8WYR4
O95714	Q92560
Q96EP1	Q53G59
P35659	O75159
Q86UD4	Q14511
O75582	Q96NA2
O43660	Q9NQ31
O95257	Q15078
Q6ZVK8	Q9H8W3
Q9NVR7	O95714
Q16659	P14735
Q6P1J9	Q9H0N5
Q13021	Q8N184
P35968	Q13576
Q8N3L3	P17735
P05090	Q8N3P4
Q9NQY0	Q8NDX6
O43150	Q96AJ1
Q92622	Q92878
Q96E11	Q9H307
P48431	Q15811
Q13107	Q5VSY0
Q8WVZ9	Q9HAP2
Q9UKR5	P31947
Q9UPY8	Q9NX04
Q92614	O95402
Q9P2J5	Q9BX40
Q07955	Q70CQ1
Q14191	Q96IZ0
Q5FBB7	P35225
Q9NR80	P12004
O43719	P43403
Q7Z3J2	P30304
P61024	P03915
Q99767	Q00537
Q9H788	O15350
Q9NXD2	O75056
Q9Y5U2	O95793
Q9Y5B9	Q8N2H9
Q8WWN9	P11712
P35250	Q7L5N1
Q8IYD8	Q13002
O43181	Q9HB65
Q96H20	Q9HC44
Q14159	Q96IG2
P19484	Q9UNA1
Q8TBP5	Q8NFY9
Q15669	Q9H0U9
O15182	Q6PJG2
P17676	P21580
O14561	Q9NTK5
Q8N684	Q8NFJ9
Q15366	Q96EK4
O15409	Q13216
P06850	Q9Y2M0
O43586	O95503
O15164	P48551
Q96C01	P52799
Q96QZ7	P41002
Q7Z2W9	P54578
O95747	Q9H939
Q05BQ5	Q9BXV9
Q9Y3B7	Q5SW96
Q8IWE2	P06748
Q13685	Q96G25
Q17RD7	O15116
P13805	Q86V42
Q9NV96	P14649
Q53S33	Q15545
P31350	Q04864
Q9BQB6	Q8IY63
A6NGB9	O60502
Q13133	O43593
Q9NS56	Q13085
Q9H2G2	Q8N6D2
Q12834	Q13347
Q99627	Q5SXM2
Q16531	Q8NG31
Q2KJY2	Q99619
Q96ME7	O60293
Q8N8R7	Q8N131
Q86YV6	Q9BVJ7
P62888	O95751
Q9BXI6	P12236
Q9P013	Q96BS2
P29074	O14796
O43678	P22061
Q9BRG1	Q9UL33
Q8NE01	P18847
Q9NXG2	Q9NUL3
P12259	O15524
P09661	Q96BJ3
Q86UR1	Q5GLZ8
Q5T011	P51911
Q52MB2	O95239
Q9BQA5	Q1MSJ5
P35125	Q9ULB1
P51608	O75251
Q96AA8	Q9BRJ6
Q8NBW4	Q13368
O95602	P38936
P48426	P16035
Q8N4P3	P17542
Q86T82	Q6QNY1
Q6P597	P29460
Q9NQH7	P30414
P28290	Q9Y580
O95985	Q14596
Q7Z460	Q15653
Q9NX40	Q15041
Q9Y242	O95235
Q9Y3B7	Q9NRL3
P82979	P38646
P61086	Q9UBS5
P49675	O14777
Q9NZ81	Q9H4L4
Q14919	Q8WW12
Q9NZM4	P49356
O60313	Q9P2K8
P50876	O60711
O60671	Q96EK4
P25787	O43167
Q68CZ6	P29083
O00303	P49703
Q7Z5L9	Q15776
O00330	Q93063
Q12778	Q92552
Q9UBF8	Q8N5M1
O43426	P29590
Q09472	Q13190
O00268	Q96A65
P78344	Q8N140
Q96B96	Q9NRL3
Q8TDI0	Q9UJU6
O14713	O43390
Q8IYI0	Q12774
Q9BST9	Q9BS18
Q9BQB6	Q9BQ70
Q96FQ6	O15018
Q15437	Q13163
P22459	Q99595
Q9H7P6	Q14457
Q9P127	Q9BW61
Q9HCG8	Q9C0K0
P63172	Q9UJX2
Q00765	P31150
Q7Z5L9	Q5T1M5
Q8IWV7	Q96AA8
O60356	Q9UIA9
Q9BZE0	P42677
Q14315	Q8TAF3
Q6GPH6	P62750
Q8IZ26	P48380
Q15572	O75145
P23588	P04629
Q9H4Z3	Q5VTQ0
P02786	Q6PJI9
Q9NQX5	Q504Q3
Q9UPP1	P81133
Q13523	P23434
Q96CF2	P43320
Q12765	Q9Y2F5
Q9NUL3	P62318
O60271	Q8WTR2
P28290	P61313
P10827	P08887
Q13506	Q9BZE4
Q86T24	O14979
Q8NCM8	Q9ULP0
P30281	Q9Y4P1
Q9UBT2	Q9NXW2
P23025	O60244
Q6P4Q7	Q9Y2Y1
Q9NQB0	P55789
Q8NFZ5	Q6P1K2
Q13573	Q9C026
Q5JTC6	Q6ZVD8
Q9UMZ2	Q9BW27
Q9H816	Q9Y2K2
Q9NWT1	Q8N726
P14735	Q7RTV0
Q9BWG6	P42167
Q9Y468	Q9BYP7
P51948	O95947
Q96EF0	Q969S0
Q96M95	Q9Y215
Q99558	O75832
Q6ZN55	Q96GY0
Q99062	Q9NVN8
Q9BUJ2	Q96EC8
Q16186	A7XYQ1
P0DJD3	P24001
Q8HWS3	Q8WV16
P57678	Q8NFH8
Q92616	Q56NI9
P0C7W6	Q12962
Q9BW04	O60662
Q7L1V2	P51168
Q14653	Q13643
Q13137	Q13118
Q99750	Q9H4Y5
P17661	P40616
Q9Y285	Q92844
O15164	Q8NG31
Q9NQ55	O95159
P15172	O75400
Q14159	Q06432
Q15005	Q9UBS4
Q6P050	O75157
Q92804	P07315
Q9BRX5	O43715
P41279	Q14019
Q01105	O15182
Q9H093	Q96GG9
P17544	Q49AR2
Q96FV9	O75419
Q96T49	Q9BV97
O75197	Q8TBZ8
Q96D15	P30533
O14686	Q86U42
Q9GZY6	Q14449
Q70UQ0	P78396
Q7Z494	Q96R06
Q7Z3Z2	P78314
P47756	O75444
P29323	P50549
Q15466	Q92613
P15923	O95425
O00399	Q02833
Q01726	Q9BX66
P40855	Q8WUU5
P51948	Q86X27
Q9NZM4	Q9UBZ9
Q9UNF0	P06401
P63215	Q15777
O75155	Q13586
P46100	Q5JVS0
Q9NQU5	Q9BT43
Q9P2F8	Q92974
Q8N2H9	Q12830
Q9UHC1	Q9Y6D9
P20807	Q8IUW3
P28288	Q6ZMZ0
Q9Y3R0	Q53ET0
Q9BQ95	Q9NVT9
Q86X83	Q63HK5
P01042	Q99569
Q6PI98	Q9UNH7
Q8N6V9	P42696
Q8WUW1	Q5W0V3
P04406	Q96MA1
Q9UNA1	P19878
Q53H47	P21452
Q15777	Q8N7H5
O00267	P51151
Q96IP4	Q63ZY3
P11912	Q9Y448
O75689	O75569
Q9BT04	Q9BT17
P42167	Q8IYH5
P0CI25	P0DJD3
O60256	Q9H792
P98155	P61421
Q5PSV4	Q9NP62
P35247	Q15742
Q92804	Q8NDX1
O43396	Q8IWY8
Q9GZT8	P19367
Q13651	O95365
O75962	Q13490
Q8N4C7	Q9Y624
Q13156	Q15345
O15520	Q14527
Q96AG4	Q96JS3
Q15363	O60894
P14921	Q9H3Z4
P05113	Q96LB3
Q9NZ71	P55957
P61968	Q01167
O95967	Q9BQI6
Q16594	O43353
Q9Y6E7	P50876
P42025	Q96M95
Q9NWK9	P21246
Q567U6	Q9H5N1
Q8TCE6	Q70UQ0
P12524	Q9UNH6
Q14847	Q9NY33
O95347	Q71F56
Q9BT67	Q15004
Q9Y3A3	P33151
Q5BJF2	P09619
Q8TAB5	P41235
Q96DR7	Q969M7
Q96TA1	P43363
Q8IWD4	Q96I24
Q15466	Q15306
P18077	O14958
Q9Y6X2	P29373
Q9P0I2	Q9BQ67
P35637	Q9BSF8
Q6VVB1	Q03135
P38117	O95140
P78318	Q9BZL4
O94985	Q9ULX6
Q9BXF3	Q6ZWJ1
O95630	Q15287
P21731	Q96RE7
Q8IYE0	Q92560
Q99743	P18146
Q7Z422	Q96E93
Q9Y6Q9	O14910
O94988	Q9P0L0
P15374	Q96QD9
Q96IQ9	Q7KZI7
Q9UBE0	O75419
Q92843	Q9UDV6
Q8N2K1	Q9BUW7
Q96L73	Q15386
Q16790	Q13322
O60336	Q8IZD9
Q13563	Q8IWD4
P52298	Q6ZU52
Q9UK58	Q99708
P15918	P16144
Q86T24	Q9NP92
Q9BQ69	Q9NW61
Q9P270	Q9BWH6
Q92570	P10515
Q96LI6	Q9P0V3
P41145	Q9Y5Z4
O43164	Q12796
P20226	O43488
Q53QW1	O60941
P25791	O94964
Q8N490	Q9UPQ4
P36404	P01241
Q8IUD2	Q9NRQ5
Q96D71	Q16236
Q9UID3	Q9UJ14
Q12904	Q8WVK2
P20333	Q96AX1
Q9UN86	Q9NWZ8
Q9Y4E8	Q96RT8
O95785	Q03989
P14735	Q13797
O75140	O14796
Q92538	P62166
P28749	O43303
O60518	Q9Y2I6
Q9Y2D4	Q9UGP5
O14949	Q96MD2
P07197	O75582
P17612	P25490
O75604	Q7Z6J0
O76038	Q9P242
Q96S65	Q9NWY4
P08047	O00567
P25800	P30530
Q92541	Q9BZR9
Q6ZU52	Q96ER3
P18074	Q92529
P63172	Q15532
Q96RJ3	O95630
Q16186	Q9UBI1
Q5SRE7	Q9Y5X2
O95182	P25098
Q8NEZ2	Q9UK73
O95379	Q9UKT9
Q569H4	O75081
Q14469	Q96F46
Q14999	Q9Y3D0
P55084	O95905
Q5GLZ8	Q9NPH2
Q9BWX1	Q9HCH5
P98082	Q9Y535
Q6RW13	Q9H251
P11309	P29084
Q9NP79	Q9NY99
Q14582	Q5MIZ7
Q92698	Q9NPG3
P31269	Q9Y6A5
O60244	Q96MG7
Q5M9N0	Q13620
Q9NYP9	Q9Y4J8
O43593	P36405
O15519	Q86XS8
O60885	Q9ULA0
Q86UK7	Q2TBA0
O75319	Q5MIZ7
Q9H0W5	Q8TB96
Q9H0E2	O43847
O95155	Q9HCI7
Q86Y07	Q9UFG5
Q9Y342	Q99576
O75147	O60216
Q96EK5	Q9C005
Q9NYB0	Q5VT52
O75593	P55273
O75293	O75916
P46459	Q8NEB9
O94868	Q9C0F1
Q99572	Q96HA8
O43298	Q96DH6
Q9BRX5	Q9NS61
Q8WXH5	P35372
Q9UJ55	P62701
Q53GS9	Q8NFH8
P38117	Q5VT52
Q9H334	Q8IXM3
Q96QG7	P04156
Q12846	Q9Y4P1
O00459	Q9BXB4
Q00532	Q8N2K1
Q96NZ9	Q13823
Q9BUV0	Q9Y4B5
Q9NZC7	P80217
Q96DA2	Q92600
Q504U0	Q13535
Q12769	Q9NZD8
Q9H040	Q66K74
Q15154	Q96PE2
O60260	Q9UFG5
Q99062	P01344
O60496	P33151
P62913	O95865
Q9C0C7	Q8NBM4
Q9BYV6	Q9BTA9
Q99614	O00555
Q2YD98	Q9UF11
O43683	P09012
Q6IQ32	P47755
Q9NZT2	Q7Z6J9
P36896	P49327
P18827	Q9H672
Q6ZRQ5	Q9UBI1
P55895	P43364
P45379	P57735
Q9HAP2	O15379
Q9H832	P28340
P17706	Q9Y3L3
Q4VCS5	O95299
O95865	O95777
P46060	Q7L5N1
P05109	P12524
Q15645	Q13347
P05230	Q8NEY3
Q92629	Q96RR1
Q9BRX9	Q14676
Q9BVG3	P05161
Q9NXX6	P21580
O00762	Q8N122
O75084	P18615
Q9BPX3	O60220
O00165	Q9Y216
P13682	Q96LL4
P07766	Q9Y616
Q53EQ6	Q9UHD1
Q99549	Q8N3P4
Q14204	P15918
Q96LC9	Q8IWE2
Q7L2J0	P31269
P08588	P49069
O43896	O14576
P55769	P54136
Q9NVN3	Q96BM9
Q9UNT1	O75084
P24385	Q8WYN0
Q5XUX1	O75323
P31930	Q9BSW7
O43633	Q96GC9
P42704	P80217
O14974	O95197
Q8NFH4	O75843
Q96C28	Q9Y4A5
Q14697	O60504
P01042	Q9HB63
Q96E93	P23025
Q9UBF6	O43303
Q07889	Q99909
P23511	Q9UBU9
O76041	Q92674
Q15369	P53672
Q8WXX7	Q8WW24
A8MQ03	P20941
Q9H1X1	Q96QC0
O75335	Q00839
Q9H869	Q9Y3B6
Q15050	O75208
Q9Y4Z2	Q8WVD3
Q9GZL7	Q8NHZ8
P06401	Q96HH9
Q14159	Q8IXH7
Q9UJW3	O95816
P99999	O95239
P10644	P43694
O95365	Q9Y597
O75800	Q8NG27
O15162	Q7Z2W9
Q8WY36	P05413
P53396	Q12904
Q9UNA1	Q9Y5Y5
P19474	P78348
Q8TEX9	P48426
Q8NG31	P80365
Q15050	P37268
Q8NA72	Q969H8
Q15544	P98077
Q9UGL1	Q8NG31
P13196	Q14781
Q8N0Y2	Q8N6T7
Q9H173	Q9H981
Q08378	P31930
O00244	Q9H000
Q8IXZ2	Q96JP2
Q9H2D6	P61201
P09629	Q9NUX5
Q13077	Q96JZ2
Q96M61	Q96FH0
Q96C74	Q02040
Q9UBB5	Q9Y6Q6
O95602	P06702
Q13309	A7MCY6
P15173	Q96NY9
P24539	Q9BQG0
Q9Y4G8	Q9BRJ7
Q9UJA3	Q9Y6Q9
Q53GL0	Q8IU81
P32969	Q5T5A8
O14530	Q9BVV2
P28324	Q9NVR7
A1L4H1	Q96JN8
Q96AD5	Q15050
Q7Z7C8	Q12809
Q14008	P14618
Q8NFZ5	P05113
P31269	Q9NPC8
Q96HJ9	O60566
Q8TCT9	P15622
O60343	Q9BX82
Q9UPT6	Q9UHD1
O75530	P02686
Q9Y5N6	Q8WV28
P62314	Q5JST6
Q9H1A4	Q96K21
P35568	P42858
P28065	Q7L014
Q5MIZ7	Q9H7X7
Q8WWY3	Q9Y3D0
P06730	Q14627
Q6ZMZ0	Q13315
Q9NR12	P31273
Q9Y5K5	Q8TEX9
Q99697	Q93096
Q13451	P17301
Q15643	O15315
O14832	P41180
O15389	P16671
Q5VWG9	O95872
P31947	Q9Y244
P28072	Q92882
Q02763	P78406
Q9UJT2	Q15154
Q9Y2I7	Q9ULS6
Q8WYA0	Q8WXE1
Q8N0Z3	Q9H7T9
Q96AJ9	Q15366
P00558	O14978
Q6GPH6	Q8TEB7
Q92833	Q58WW2
Q9Y664	Q9ULU4
O75953	P08684
O15182	O95433
O14777	Q13838
O14977	Q6PII5
Q14207	Q9BXS6
P06748	Q9BU76
Q13636	Q5U5Q3
Q6NZI2	Q96JM3
Q9NYR9	P15941
Q14527	P10275
O15143	Q14680
O75582	P50402
Q16626	Q9HCN8
Q8HWS3	P53367
P17947	P09661
P14649	Q9H0B6
Q9BWM7	Q2WGJ6
O60240	Q8WXG1
Q9NS56	Q8IV20
O15085	O00483
Q8WU10	O75503
Q9Y3D7	Q9UHA2
Q6QNY0	P54198
Q13772	Q9P015
P50281	Q8WVC0
Q9H1B7	Q9UIB8
Q99259	Q05195
Q8N2I9	Q2NL98
Q9Y608	Q9H7E9
O95379	Q9NQ55
Q9H6R7	Q9BTA9
Q96SL4	Q14587
Q13765	Q9Y3C0
Q9H0E9	P54852
P17735	Q5VU43
Q9UJT2	Q9NQH7
P49901	P45985
Q13118	Q96G23
Q14CS0	Q9BYE7
P25815	P42229
P37235	P10600
P41217	O95684
Q14980	O00232
Q9C086	Q12778
Q14203	Q15542
P35269	Q9H267
Q9BRT2	Q96AT1
Q96ED9	Q9HBG7
Q9P202	Q9BQI9
A8MT69	Q99683
P20794	P48169
Q8N8N0	Q96GN5
Q96J92	O00444
P52294	Q9P0L1
O00541	O60500
Q9H1C4	Q9NRY6
Q96NL3	Q4KMQ1
Q6ZTI6	Q9NVX7
Q8NFY9	Q13976
P36955	Q8WYA0
Q9UHC7	O15037
Q9UJQ4	P40189
P23025	O14657
Q14694	Q5GLZ8
Q9BVQ7	Q9UIW2
Q6ZNE5	Q15329
Q13651	Q13219
Q3SYG4	Q8NCE0
Q6L8Q7	Q9P127
Q6IAA8	Q96IQ9
Q9UHV9	P23763
Q9BT04	Q5VZK9
P62424	Q9NRN7
Q8N6P7	Q8N7R7
O94855	P08887
Q96RG2	Q86VM9
Q16513	Q9UNP9
O60762	Q96FN4
Q9Y6K1	Q9H706
Q9Y366	Q13352
Q15768	Q9BTL4
Q9UKA4	O14727
Q9Y3D7	P61421
Q52LR7	Q6PGN9
Q9XRX5	Q86WH2
Q86Z14	Q96FQ6
Q96RI1	Q9H0H5
P06454	Q8NBM4
O75197	Q96HU8
P35968	P57723
Q8WTX7	P01111
Q7L273	O15156
Q13492	Q9Y5S8
Q96S44	Q9C0J9
Q8NEC5	O60341
P28702	Q9BZ11
Q9BT78	Q9UJC3
P46736	Q9H9C1
Q9BR76	Q96AD5
Q8TDN6	Q99460
Q9H0Y0	P48444
Q9UPQ8	O00444
Q13227	Q9UJV3
Q9BYF1	O94889
Q12789	Q9Y679
Q969V6	Q9C005
Q9BXB1	Q9HB63
Q12798	Q9UNY4
Q86WA8	Q9HB89
O95299	P01133
O94874	Q05586
Q53HC9	P25054
Q92614	Q9UIL1
O43639	Q8N612
Q9BQQ3	Q96RE7
Q5W111	Q9BXW7
P29323	Q9Y6G5
Q13576	Q9HBL8
Q96E09	Q8N2Z9
P48643	Q3B820
Q9NRW3	O95571
Q00587	P08572
Q86WT6	P25205
Q9UHY8	O43914
O00204	Q15466
Q13888	Q17R98
Q13232	Q8TF40
O95190	P02792
Q8NB46	Q96DX5
O43175	Q6ZNA4
Q9Y3C5	Q709F0
P41181	Q16513
Q6MZQ0	Q9NPL8
O43156	Q9Y3C4
Q96FV9	P49959
P54274	Q9BQI5
Q9BZ67	O43236
Q9UDV6	Q9H2H8
Q6PIJ6	Q15389
P04424	O95872
Q9UQL6	P41180
Q9Y5A7	Q99757
Q9BW27	Q96RL7
Q5VVQ6	Q9Y262
P61313	P40616
Q5VV42	Q9Y6R4
Q9HB07	Q92542
Q7Z6Z7	O15212
Q9Y295	Q6P9B6
Q9H2C0	Q96FJ0
Q5T9L3	P25440
Q9BQ48	Q9NS69
Q96BN2	P62875
Q9H201	Q7L5D6
O00257	Q9Y263
P20823	O00482
P51784	Q5BJF2
Q9UJV9	O15054
Q8IXB1	Q8N612
Q9BY67	P09105
P48556	Q92599
Q96HY6	Q9UPM8
Q03001	Q8IZH2
Q5VVX9	P62877
Q7Z419	Q9BYJ9
A1L4K1	Q9H0Y0
Q9NW38	Q9NR77
P15260	Q05D60
P43250	Q8ND04
P62081	Q7L8J4
P49591	Q15303
P49901	Q9Y2I7
P15313	Q9UKT9
Q9NZL4	P62314
O95503	Q8NFG4
P78563	Q16181
Q96EE3	P54725
O95639	Q9H9Q4
Q13523	Q6ICG8
Q7Z6J6	O15165
P50151	Q9NXH9
Q92993	Q6P2H3
Q8NHZ8	Q9P2K3
P01588	P61236
P04233	P13498
Q9H4Z3	Q96GX1
Q16790	Q9UI09
Q9UGI8	Q92813
O14775	Q9H0F6
Q9NRG4	O95239
O95210	Q14149
Q13976	P62306
Q5VU43	Q96L73
P49736	P17152
O43929	Q6ZT98
Q96DR5	O95198
P11686	Q9P2F8
Q9UH73	Q9NX31
Q86VS3	Q96PC5
P20248	P35354
P26196	Q96IY1
P30533	Q6ICB4
Q59EK9	Q9NRP7
Q07812	Q92870
O00308	Q7L014
Q9H8W4	Q8NBW4
P14316	Q8TDY2
Q6ZNA4	Q9P246
O75159	Q6ZVT0
Q8NFH5	O15315
Q9Y566	P61254
Q86UT8	O00287
Q12789	Q9Y244
Q6ZRQ5	Q8NFW9
Q9NTK5	Q9BYD6
Q6ZSG1	Q9Y605
Q08499	P11831
Q7Z3B3	Q8NBT2
P78346	Q8NBR6
Q96QE3	Q8WXB1
Q9BW85	P05546
Q9UHI6	P15407
Q96PU8	Q96H86
O14530	Q9BW66
Q9NVK5	P30533
Q6PI47	O14910
Q9H3M7	P56589
O94817	P46779
P51784	P22105
Q9UBK2	Q14721
Q9H2A7	Q96Q35
Q96NL6	Q92990
Q8TAI7	Q15742
P61960	P34998
Q96BM1	Q9H9T3
Q14106	Q8WU90
P07947	Q96QF0
Q96JM7	Q9H2C0
Q9NXV6	P52952
Q2TBA0	O43395
